Entity	Description	TYPES	TYPES	TYPES	TYPES	BELONGS TO	USED FOR	USED FOR	USED FOR	USED FOR	USED FOR	USED FOR	USED AS	USED AS	RELATED TO	RELATED TO	RELATED TO	RELATED TO	INVOLVED IN	INVOLVED IN	INVOLVED IN	INVOLVED IN	INVOLVED IN	ALSO KNOWN AS	CAUSED BY	CAUSED BY	CAUSED BY	CAUSED BY	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	FOUND IN	FOUND IN	FOUND IN	FOUND IN	FOUND IN	FOUND IN	BRAND NAME	BRAND NAME	BRAND NAME	BRAND NAME	SYMPTOM OF	SYMPTOM OF	ORIGINATED FROM	ORIGINATED FROM	NATURAL HABITAT	NATURAL HABITAT	PRECURSOR TO	CONTAINS	CONTAINS	CONTAINS	CONTAINS
Mental health	Mental health is a state of well-being in which an individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community.																																																						
Mental health disorders	Mental health disorders are conditions that affect a person's mood, thinking, and behavior. They can range from mild to severe and can be caused by a variety of factors, including genetics, environment, and stress.																																																						
Mental resilience	Mental resilience is the ability to mentally and emotionally withstand and recover from difficult situations. It is the ability to persevere through challenges and setbacks, and to maintain a positive outlook despite adversity.																																																						
Mental toughness	Mental toughness is the ability to maintain focus and confidence in the face of adversity. It is the ability to persevere through difficult circumstances and to maintain a positive outlook in the face of setbacks. Mental toughness is a key ingredient in the recipe for success.																																																						
Mental training	Mental training is the process of preparing your mind for optimal performance. This can be done through a variety of techniques, such as visualization, positive self-talk, and relaxation.																																																						
Mentha spicata	Mentha spicata is a species of mint that is native to Europe and Asia. It is a perennial plant that grows to a height of 30–100 cm (12–39 in). The leaves are lanceolate, tomentose, and have a serrated margin. The flowers are white or pink and bloom in summer.																																																						
Mercury	Mercury is a naturally occurring element that is found in air, water and soil. It is a heavy metal that is liquid at room temperature. Mercury is used in many different industries, including the production of thermometers, fluorescent light bulbs, dental amalgams and batteries.																																																						
Meta-analysis	A meta-analysis is a statistical analysis that combines the results of multiple scientific studies. The basic idea behind meta-analysis is that there is a common truth behind all of the individual studies that have been conducted, but that each study has its own limitations. By combining the results of multiple studies, a meta-analysis can provide a more precise estimate of the size of the effect of a given treatment.	Statistical analysis																																																					
Metabolic biotransformation	Metabolic biotransformation is the process by which a substance is transformed by living cells into another substance.																																																						
Metabolic dysfunction	Metabolic dysfunction is a condition where the body's metabolism is not working properly. This can lead to weight gain, fatigue, and other health problems.	Health condition																																																					
Metabolic effects	The metabolic effects of a drug are the biochemical and physiological changes that occur in the body as a result of the drug's action.																																																						
Metabolic endotoxemia	Metabolic endotoxemia is a condition in which there is an accumulation of endotoxins in the blood. These endotoxins are toxins that are released from the bacteria that live in the gut.	Health condition																																																					
Metabolic function	The metabolic function is the set of chemical reactions that occur in living cells to maintain life. These reactions convert energy from food into the molecules needed by the cells to perform their functions.																																																						
Metabolic health	Metabolic health is a state of good health that is characterized by normal metabolism.																																																						
Metabolic regulation	Metabolic regulation is the control of metabolism by hormones and other molecules.																																																						
Metabolic stress	Metabolic stress is a health condition that occurs when the body's metabolism is not working properly. This can lead to a variety of symptoms, including weight gain, fatigue, and muscle weakness.	Health condition																																																					
Metabolic syndrome	Metabolic syndrome is a group of risk factors that increase your chance of developing heart disease, stroke, and diabetes. The risk factors include high blood pressure, high blood sugar, and abnormal cholesterol or triglyceride levels.	Health condition																																																					
Metabolism	Metabolism is the set of life-sustaining chemical reactions in organisms. The three main purposes of metabolism are the conversion of food/fuel to energy to run cellular processes, the conversion of food/fuel to building blocks for proteins, lipids, nucleic acids, and some carbohydrates, and the elimination of metabolic wastes.																																																						
Metformin	Metformin is a medication used to treat type 2 diabetes. It helps to control blood sugar levels by reducing the amount of sugar produced by the liver and by making it easier for the body to use insulin.	Drug																																																					
Methadone	Methadone is a synthetic opioid that is used as a pain reliever and as a treatment for opioid addiction. It is a long-acting medication that stays in the body for up to 24 hours.	Drug																																																					
Methamphetamine	Methamphetamine is a powerful central nervous system stimulant that is used medically as a short-term treatment for attention deficit hyperactivity disorder and obesity. Methamphetamine is also used illegally as a recreational drug, and it is considered a Schedule II controlled substance in the United States.																																																						
Methionine	Methionine is an essential amino acid that is not made by the body and must be obtained through diet.	Amino acids																																																					
Methods	A method is a set of instructions that are carried out in order to complete a task.																																																						
Methotrexate 	Methotrexate is a chemotherapy medication that is used to treat cancer. It works by interfering with the growth of cancer cells.	Drug	Chemotherapy medication				Cancer treatment	Crohn's disease	Rheumatoid arthritis	Psoriasis																																													
Methoxsalen	Methoxsalen is a medication used to treat psoriasis and vitiligo. It works by increasing the skin's sensitivity to sunlight, which helps to decrease the growth of skin cells and improve the appearance of the skin.	Drug																																																					
Methyl metabolism	Methyl metabolism is the process by which the body breaks down and eliminates methyl groups from molecules.	Process																																																					
Methylprednisolone	Methylprednisolone is a type of corticosteroid that is used to treat a variety of conditions, including allergies, asthma, and arthritis. It works by reducing inflammation in the body.																																																						
Mexiletine	Mexiletine is a class 1B anti-arrhythmic medication used to treat irregular heartbeats. It is also used to treat chronic pain syndromes such as fibromyalgia and neuropathic pain.	Drug																																																					
Mexitil	Mexitil is an anti-arrhythmia medication used to treat irregular heartbeats.	Drug																																																					
MFSD2A - Major facilitator superfamily domain-containing protein 2A	Major facilitator superfamily domain-containing protein 2A (MFSD2A) is a protein that in humans is encoded by the MFSD2A gene. MFSD2A is a member of the major facilitator superfamily of transmembrane proteins.																																																						
mg - Milligram	A milligram is a unit of measurement of mass in the metric system.																																																						
Micro-algae	Micro-algae are tiny algae cells that live in water. They are often used in aquariums and ponds to help keep the water clean.																																																						
Micro-bacteria	Micro-bacteria are tiny bacteria that are too small to be seen with the naked eye.																																																						
Microbial patterns	Microbial patterns are the shapes and arrangements that microbes can form.																																																						
Microbiome	The microbiome is the collection of all the microorganisms that live in a particular environment, including bacteria, viruses, fungi, and protozoa.																																																						
Microbiota	The microbiota is the collection of all microorganisms that live in a particular environment, including bacteria, viruses, fungi, and protozoa.																																																						
Microdosing	Microdosing is the act of taking a very small amount of a substance, typically LSD, in order to experience its subtle effects.																																																						
Microneedling	Microneedling is a cosmetic procedure that involves repeatedly puncturing the skin with tiny needles. It is also known as collagen induction therapy. Microneedling is said to improve the appearance of wrinkles, fine lines, scars, and other skin concerns by stimulating the production of collagen and elastin.																																																						
Mid-morning crash	as the term "mid-morning crash" could mean different things to different people. Generally speaking, however, the term is used to describe the feeling of fatigue or drowsiness that can sometimes occur around mid-morning, typically after a person has already been up and active for a few hours. This crash can be caused by a variety of factors, including lack of sleep, dehydration, or simply not having eaten enough breakfast.																																																						
Midamor	Midamor is a potassium-sparing diuretic used to treat high blood pressure and fluid retention.																																																						
Midazolam	Midazolam is a short-acting benzodiazepine that is used for sedation, anesthesia, and seizure control. It has a rapid onset and short duration of action.	Drug				Benzodiazepines																																																	
Middle-aged adult	A middle-aged adult is someone who is in their 40s or 50s.																																																						
Migraine headaches	Migraine headaches are a type of headache that is characterized by a throbbing pain on one side of the head. These headaches are often accompanied by nausea, vomiting, and sensitivity to light and sound.																																																						
Milk	A white liquid produced by the mammary glands of mammals. It is the primary source of nutrition for infant mammals (including humans who are breastfed) before they are able to digest other types of food.																																																						
Milk thistle	Milk thistle is a tall, spiny plant that grows in dry, sunny areas. The leaves are large and lobed, and the flowers are white with purple spots. The plant has a long taproot, and the leaves and stems are covered in a white, milky sap.  Milk thistle is native to Europe and Asia, but it now grows in many parts of the world. The plant is used medicinally, and the seeds are used to make a coffee-like drink.  Milk thistle is thought to be effective in treating liver problems, including hepatitis and cirrhosis. The plant is also used to treat gallbladder problems, and to improve digestion. Milk thistle is sometimes taken as a supplement to help protect the liver from the damaging effects of alcohol and other drugs.	Plant																																																					
Mimetic	Mimetic refers to the tendency of an animal to copy the behavior of another animal.																																																						
Mind	The definition of mind is the faculty of a person's consciousness that allows them to be aware of the world and their own thoughts and feelings. It is the seat of a person's intelligence and personality.																																																						
Mind and body practices	Mind and body practices are a group of techniques that are used to promote relaxation, improve mental and physical health, and reduce stress.																																																						
Mind-body connection	The mind-body connection is the belief that the mind and body are connected and that the state of the mind can affect the state of the body.																																																						
Mindfulness	Mindfulness is the practice of being present in the moment and paying attention to your thoughts, feelings, and sensations without judgment.																																																						
Mindfulness meditation	Mindfulness meditation is a form of mindfulness that is focused on the present moment.																																																						
Mindset	A mindset is a person's set of attitudes and beliefs.																																																						
Mineral	A mineral is a naturally occurring, inorganic solid with a definite chemical composition and a crystalline structure.																																																						
Minipress	Minipress is a brand name for the drug prazosin. Prazosin is a medication that is used to treat high blood pressure. It works by relaxing the blood vessels, which allows the blood to flow more easily and lowers blood pressure.	Drug																																																					
Minoxidil	Minoxidil is a medication used to treat high blood pressure and baldness. It is a vasodilator, meaning it widens blood vessels, and is also used as a hair loss treatment.	Drug																																																					
Mitigate	to make less severe, serious, or painful																																																						
Mitochondrial biogenesis	Mitochondrial biogenesis is the process by which new mitochondria are created in cells. This process is important for maintaining the health of cells and tissues, and for providing energy for cellular processes.																																																						
Mitochondrial dysfunction	Mitochondrial dysfunction is a condition where the mitochondria in the cells are not functioning properly. This can lead to a variety of health problems, including fatigue, muscle weakness, and problems with the heart and lungs.	Health condition																																																					
Mitochondrial function	The function of mitochondria is to produce energy for the cell.																																																						
Mitochondrial health	Mitochondrial health refers to the function and integrity of the mitochondria, which are the energy-producing organelles in cells. Mitochondrial dysfunction has been linked to a variety of chronic diseases, including cancer, heart disease, and diabetes.																																																						
Mixed nuts	Mixed nuts are a combination of different types of nuts, usually including peanuts.																																																						
mL - Milliliter	A milliliter is a unit of volume in the metric system. The symbol for milliliter is mL.																																																						
Modafinil	Modafinil is a medication used to treat sleep disorders. It is a wakefulness-promoting agent that is approved for use in the United States.	Drug																																																					
Modulation	Modulation is the process of varying one or more properties of a signal, such as amplitude, frequency, phase, or pulse width.																																																						
Molecular mechanisms	The molecular mechanisms are the processes that occur at the molecular level to produce a particular phenotype.																																																						
Momordica charantia	Momordica charantia is a tropical vine that produces a fruit that is commonly known as bitter melon or bitter gourd. The fruit is oblong in shape and has a green skin with white flesh. It has a bitter taste and is often used in Asian cuisine.	Plant																																																					
Monacolin K	Monacolin K is a substance found in red yeast rice that is structurally similar to lovastatin, a drug used to lower cholesterol.																																																						
Monascus purpureus	Monascus purpureus is a species of red yeast that is used in the production of red yeast rice.																																																						
Monopril	Monopril is an ACE inhibitor used to treat high blood pressure and congestive heart failure.																																																						
Mood	The mood of a piece of writing is the overall feeling that the reader gets from the text.																																																						
Mood disturbances	Mood disturbances are changes in a person's emotional state. These can include feeling happy one moment and then feeling sad or angry the next. Mood swings can be a normal part of life, but when they become severe or happen more often, they may be a sign of a mental health condition.																																																						
Mood elevation	Mood elevation is the feeling of happiness or joy.																																																						
Moringa leaf	Moringa leaves are the leaves of the moringa tree, which is native to India. The leaves are used in traditional Indian medicine and are said to have many health benefits.																																																						
Moringa leaf powder	Moringa leaf powder is a powder made from the dried leaves of the moringa tree. It is rich in vitamins, minerals, and antioxidants and has been used for centuries in traditional medicine.																																																						
Moringa powder	Moringa powder is a powder made from the dried leaves of the moringa tree.																																																						
Morning person	A morning person is someone who is most productive and energetic in the morning hours.																																																						
Morning sickness	Morning sickness is a health condition that is characterized by nausea and vomiting. Morning sickness is most common in the first trimester of pregnancy, but can occur in the second and third trimesters as well.	Health condition																																																					
Mortality	The mortality rate is the number of deaths in a population, divided by the number of people in that population.																																																						
Mosquitoes	A mosquito is a small, fly-like insect that sucks blood from animals and humans.																																																						
Motion sickness	The person experiences a sensation of nausea and sometimes vomiting when they travel in a car, bus, train, or plane.	Health condition																																																					
Motivation	The definition of motivation is the process that initiates, guides, and maintains goal-oriented behaviors.																																																						
Motor injury	A motor injury is an injury to the body that results from the use of a motor vehicle.																																																						
Mouth sores	Mouth sores are small ulcers that can form inside the mouth, on the gums, or on the lips. They are usually painful and can make it difficult to eat or drink.																																																						
Movement	Movement is the act or process of moving from one place to another.																																																						
Movement practice	There is no single definition of movement practice, but it generally refers to any type of physical activity that is undertaken with the intention of improving one's physical health or abilities. This could include activities like yoga, Pilates, Tai Chi, and other forms of exercise.																																																						
Movement therapy	Movement therapy is a type of therapy that uses movement to help people heal from physical or emotional injuries.																																																						
Moxibustion	Moxibustion is a traditional Chinese medicine therapy using moxa, or mugwort herb, to stimulate acupuncture points or warm and invigorate the flow of qi.																																																						
Mozzarella cheese	Mozzarella cheese is a type of cheese that is made from the milk of a water buffalo or cow. It is a white cheese with a soft, elastic texture.																																																						
MRI - Magnetic resonance imaging	Magnetic resonance imaging (MRI) is a type of scan that uses strong magnetic fields and radio waves to produce detailed images of the inside of the body.																																																						
MS - Multiple sclerosis	Multiple sclerosis (MS) is a chronic, often disabling disease that attacks the central nervous system (CNS), which includes the brain, spinal cord, and optic nerves. Symptoms may be mild, such as numbness in the limbs, or severe, such as paralysis or loss of vision. The progress, severity, and specific symptoms of MS are unpredictable and vary from one person to another.																																																						
MSM - Methylsulfonylmethane	Methylsulfonylmethane (MSM) is an organic sulfur-containing compound that is often used as a dietary supplement. MSM is thought to have a number of potential health benefits, including reducing inflammation, relieving pain, and improving joint health.																																																						
mTOR - The mammalian target of rapamycin	The mammalian target of rapamycin (mTOR) is a kinase that is responsible for the regulation of cell growth, cell proliferation, cell motility, cell survival, protein synthesis, and autophagy.																																																						
Mucuna pruriens	Mucuna pruriens is a tropical legume that is native to Africa and Asia. The plant is known for its high concentration of L-dopa, a precursor to the neurotransmitter dopamine. Mucuna pruriens has been traditionally used in Ayurvedic and Chinese medicine for the treatment of various conditions, including Parkinson's disease, anxiety, and depression.																																																						
Mugwort	Artemisia vulgaris, commonly known as common mugwort, is a species of flowering plant in the daisy family Asteraceae. It is native to Europe, Asia and northern Africa, and is also naturalized in North America and Australia. It is a herbaceous perennial plant growing to 1.5–2.5 m tall, with a woody root. The leaves are 6–20 cm long and 2–6 cm broad, with a deeply lobed margin. The flowers are small and dull yellow, clustered in flat-topped groups. The fruit is a small achene.	Plant																																																					
Multi-tasking	Multi-tasking is the ability to do more than one thing at the same time.																																																						
Multiple organ failure	Multiple organ failure (MOF) is a condition where two or more organs in the body fail to work properly. This can be caused by a variety of things, including infection, trauma, and sepsis. MOF can lead to death if not treated quickly and properly.	Health condition																							Sepsis	Trauma	Burns																												
Multivitamin	A multivitamin is a supplement that contains a variety of vitamins and minerals.																																																						
Munchies	The munchies are a sudden, intense hunger for food that is often experienced after smoking marijuana.																																																						
Muscle	A muscle is a bundle of contractile fibers that are attached to bones by tendons.																																																						
Muscle atrophy	Muscle atrophy is a health condition characterized by the wasting away of muscle tissue. This can be the result of a number of factors, including disuse, malnutrition, and certain diseases. Muscle atrophy can lead to weakness and frailty, and can be difficult to treat.	Health condition																	Lack of physical activity																																				
Muscle cramps	Muscle cramps are sudden, involuntary contractions of one or more muscles. They can be caused by overuse, dehydration, or electrolyte imbalances. Muscle cramps can be painful and may last for a few seconds to several minutes.	Health condition																																																					
Muscle function	The function of a muscle is to produce force and cause movement.																																																						
Muscle growth	The definition of muscle growth is the increase in size, number, and/or strength of muscle cells.																																																						
Muscle mass	Muscle mass is the amount of muscle tissue in a person's body.																																																						
Muscle mass maintenance	The definition of muscle mass maintenance is the process of keeping muscle tissue healthy and functional. This includes regular exercise, adequate nutrition, and adequate rest.																																																						
Muscle strength	The definition of muscle strength is the amount of force that a muscle can produce.																																																						
Muscle weakness	Muscle weakness is a condition in which your muscles feel tired and unable to move as well as they normally do. This can be caused by a variety of factors, including physical activity, dehydration, and certain medical conditions.	Health condition																																																					
Muscles	Muscles are tissues that contract to produce movement in the body.																																																						
Muscular endurance	Muscular endurance is the ability of a muscle or group of muscles to sustain repeated contractions against a resistance for an extended period of time.																																																						
Mushrooms	A mushroom is a fleshy, spore-bearing fruiting body of a fungus, typically produced above ground on soil or on its food source.																																																						
Music	The definition of music is the art of combining vocal or instrumental sounds (or both) to produce beauty of form, harmony, and expression of emotion.	Cultural activity	Art																																																				
Music therapy	Music therapy is the use of music to improve the physical, mental, and emotional well-being of individuals.																																																						
Mussels	Mussels are a type of shellfish that live in freshwater or saltwater. They have a hard shell that protects their soft body. Mussels are filter feeders and use their siphons to filter food and water from the surrounding water.																																																						
Mustard greens	Mustard greens are a type of leafy green vegetable that belongs to the Brassica family. The leaves are slightly toothed and have a pungent flavor. They are rich in vitamins A, C, and K, and are often used in Asian cuisine.																																																						
Mustard seed	The mustard seed is a small seed of the mustard plant.																																																						
Myo-inositol	Myo-inositol is a type of inositol, a sugar alcohol that is found in plants. It is structurally similar to glucose, and is involved in a variety of cellular processes.																																																						
Myocarditis	Myocarditis is an inflammation of the heart muscle. It can be caused by a viral infection, but it can also be caused by other things, such as autoimmune diseases, certain medications, or even physical trauma. Myocarditis can be a very serious condition, and it can even lead to heart failure.	Health condition																																																					
Myrosinase	Myrosinase is an enzyme that catalyzes the breakdown of glucosinolates into a variety of products, including glucose, nitriles, and isothiocyanates.																																																						
Mysoline	Mysoline is a brand name for the prescription drug primidone, which is used to treat certain types of seizures in people with epilepsy.	Drug				Anticonvulsant																																																	
Myths	A myth is a story that is based on tradition and that explains the beliefs of a group or the natural world. Myths often feature gods or goddesses who have superhuman powers and who intervene in human affairs.																																																						
N-acetyl glucosamine	N-acetyl glucosamine is a sugar molecule that is a component of chitin, which is a major structural component of the exoskeletons of insects and other arthropods.																																																						
Nabilone	Nabilone is a synthetic cannabinoid that is used as a medication. It is similar to the naturally occurring cannabinoid THC and has similar effects, including pain relief, appetite stimulation, and anti-nausea effects.																																																						
NAC - N-acetyl cysteine	N-acetyl cysteine is a compound that is derived from the amino acid cysteine. It is used as a supplement to increase levels of the antioxidant glutathione in the body. It is also used as a treatment for acetaminophen overdose and for certain types of kidney disease.																																																						
NAD - Nicotinamide adenine dinucleotide	NAD is a coenzyme found in all living cells. It is composed of nicotinamide and adenine, and it plays an important role in metabolism.																																																						
Nadolol	Nadolol is a beta blocker that is used to treat high blood pressure, heart failure, and angina. It works by blocking the action of the hormone epinephrine, which reduces the heart rate and blood pressure.																																																						
Nail fungus	Nail fungus is a condition that can cause your nails to become thick, yellow, or brittle. It can also cause pain in your nails or make them difficult to trim. Nail fungus is usually caused by a type of fungus called dermatophytes, but it can also be caused by yeasts or molds.																																																						
Naltrexone	Naltrexone is a medication that is used to treat alcohol and drug dependence. It works by blocking the effects of opioids, such as heroin and morphine. Naltrexone is also used to treat people who have been addicted to opioids and are trying to abstain from them.	Drug																																																					
Nap	A nap is a short period of sleep, typically taken during the day.																																																						
Narcolepsy	Narcolepsy is a sleep disorder that is characterized by excessive daytime sleepiness and sudden, brief periods of sleep during the day.	Health condition																																																					
Narrowed focus	Narrowed focus is when you are only focusing on one thing and not letting anything else distract you.																																																						
Nasal	The definition of nasal is relating to the nose.																																																						
Nasal stuffiness	Nasal stuffiness is a feeling of congestion in the nose.																																																						
Natto	Natto is a Japanese dish made of fermented soybeans.																																																						
Nattokinase	Nattokinase is a serine protease enzyme derived from the traditional Japanese food nattō. It is used as a dietary supplement and is claimed to have various health benefits.																																																						
Natural sunscreens	Natural sunscreens are sunscreens that use ingredients that are found in nature, rather than synthetic ingredients.																																																						
Naturopathy	Naturopathy is a system of medicine that emphasizes the body's ability to heal itself. It is based on the belief that the cause of disease is a disruption of the body's natural balance. Naturopathic medicine uses a variety of techniques, including diet, exercise, and lifestyle changes, to restore the body's balance and promote health.																																																						
Nausea	Nausea is a feeling of sickness in the stomach that can come before or after vomiting. It can be caused by many things, such as eating too much, drinking alcohol, or taking certain medications.	Health condition																							Spicy foods	Strong smells																													
Nausea and vomiting after surgery	Nausea and vomiting after surgery is a common side effect of many types of surgery. It is usually caused by the anesthesia and pain medication used during surgery.																																																						
Nausea and vomiting in pregnancy	Nausea and vomiting in pregnancy is a health condition that is characterized by the feeling of nausea and the need to vomit. This condition is often experienced by pregnant women, especially during the first trimester.	Health condition																																																					
Navy seals	Navy seals are an elite group of military personnel who are trained for special operations missions.																																																						
NCCIH-funded research	NCCIH-funded research is defined as research that is conducted by or under the auspices of the National Center for Complementary and Integrative Health.																																																						
NEAT - Non-exercise activity thermogenesis	Non-exercise activity thermogenesis (NEAT) is the energy expended for everything we do that is not sleeping, eating or exercising. It can be as simple as fidgeting or tapping your foot.																																																						
NEC - Necrotizing enterocolitis	Necrotizing enterocolitis (NEC) is a serious disease of the intestine that primarily affects premature infants. NEC occurs when the blood supply to the intestine is cut off, causing the tissue to die. NEC is a leading cause of death in premature infants, and those who survive may have long-term health problems.																																																						
Neck cancer	Neck cancer is a type of cancer that forms in the tissues of the neck.																																																						
Neck pain	The description of this neck pain health condition is that it is a condition that is characterized by pain in the neck. This pain may be caused by a variety of factors, including muscle strain, arthritis, or a herniated disc.	Health condition																																																					
Necrotizing enterocolitis	Necrotizing enterocolitis is a serious disease of the intestines that primarily affects premature infants. It is characterized by inflammation and death of intestinal tissue.																																																						
Neem oil	Neem oil is a vegetable oil that is pressed from the seeds and fruits of the neem tree. It has a strong, pungent smell and is used as a natural insecticide and repellent.																																																						
Negative effects	Negative effects are any undesirable or harmful consequences that result from something.																																																						
Nembutal	Nembutal is a barbiturate that is used as a sedative and anesthetic.																																																						
Neoral	Neoral is a brand name for the immunosuppressant drug cyclosporine.	Drug				Immunosuppressant drugs																																																	
Nerve cells	Nerve cells are cells that transmit information through electrical and chemical signals.																																																						
Nerve damage	Nerve damage is a health condition that can occur when the nerves are damaged. This can lead to a loss of feeling or sensation in the affected area. Nerve damage can also cause problems with movement and coordination.	Health condition																																																					
Nervous system	The nervous system is the system of nerves and nerve centers in an animal or human body that transmits nerve impulses between different parts of the body.																																																						
Neu5Gc - N-glycolylneuraminic acid	Neu5Gc is a sialic acid that is found in many mammalian cell surfaces. It is a sugar molecule that is attached to proteins and lipids.																																																						
Neural circuits	A neural circuit is a group of interconnected neurons that work together to perform a specific function.																		Neurons																																				
Neural efficiency	Neural efficiency is a measure of how well the nervous system is able to produce a desired response. It is determined by the amount of neural activity required to produce a given response, and the level of accuracy with which that response is produced.																																																						
Neuro-mechanisms	Neuro-mechanisms are the physical and chemical processes that underlie the functioning of the nervous system.																																																						
Neurobiology	The study of the nervous system, including the brain, at the level of molecules, cells, and circuits.																																																						
Neurocognitive health	Neurocognitive health generally refers to the overall health and functioning of the brain and nervous system. This includes cognitive (thinking, reasoning, and memory) and emotional health.																																																						
Neurodegeneration	Neurodegeneration is the progressive loss of structure or function of neurons, including death of neurons.																																																						
Neurodegenerative disease	A neurodegenerative disease is a type of disease that results in the progressive loss of function of neurons.																																																						
Neurofeedback	Neurofeedback is a type of biofeedback that uses real-time displays of brain activity to teach self-regulation of brain function.																																																						
Neurogenesis	The definition of neurogenesis is the formation of new neurons in the brain.																																																						
Neurological disease	A neurological disease is a disorder of the nervous system.																																																						
Neurological health	Neurological health generally refers to the overall health and functioning of the nervous system, which includes the brain, spinal cord, and peripheral nerves. This can encompass both physical and mental health, and may encompass aspects such as cognitive function, emotional well-being, and movement.																																																						
Neurology	The branch of medicine that deals with the diagnosis and treatment of disorders of the nervous system.																																																						
Neuromodulators	Neuromodulators are chemicals that modify the activity of neurons.																																																						
Neurons	A neuron is a cell that is the basic unit of the nervous system.																																																						
Neuropathy	Neuropathy is a general term for a variety of different conditions that cause damage to the nerves.	Conditions																																																					
Neuroplasticity	Neuroplasticity is the brain's ability to change and adapt in response to experience.																																																						
Neuropod cells	Neuropod cells are cells that are specialized for the function of neurons.																																																						
Neuroprotective	The definition of neuroprotective is a property of a drug or other compound that reduces the risk of neuronal cell death, or protects the neuron from damage.																																																						
Neuroscience	The study of the nervous system, which includes the brain, spinal cord, and peripheral nerves.																																																						
Neurotransmitters	Neurotransmitters are chemicals that are released from neurons (nerve cells) in order to send signals to other cells.																																																						
Niacin	Niacin is a water-soluble vitamin that is part of the B-vitamin family. Niacin is also known as nicotinic acid or vitamin B3. Niacin is needed for energy metabolism, lipid (fat) and cholesterol synthesis, and the health of the skin and nervous system.																																																						
Niacin deficiency	Niacin deficiency is a lack of niacin in the diet. Niacin is an essential nutrient found in many foods, including meat, fish, poultry, and fortified cereals. Niacin deficiency can cause a variety of symptoms, including pellagra.																																																						
Niacinamide	Niacinamide is a form of vitamin B3 that is used in supplements and skin care products. It has a variety of benefits, including improving skin health, reducing inflammation, and boosting energy levels.																																																						
Nicotine	A colorless, oily liquid that is the main active ingredient in tobacco. It is also used in some insecticides.																																																						
Nicotinic receptors	Nicotinic receptors are a type of neurotransmitter receptor that responds to the neurotransmitter acetylcholine.																																																						
NICU - Neonatal intensive care unit 	A neonatal intensive care unit (NICU) is a hospital unit that provides intensive care for newborn infants.																																																						
Nifedipine	Nifedipine is a medication used to treat high blood pressure and chest pain. It is a type of calcium channel blocker that works by relaxing the muscles of the blood vessels and heart.	Drug				Calcium channel blockers																																																	
Nifedipine GITS - Nifedipine gastrointestinal therapeutic system	Nifedipine GITS is a type of medication used to treat high blood pressure and other cardiovascular conditions. It works by relaxing the smooth muscles in the walls of blood vessels, which lowers blood pressure and improves blood flow. Nifedipine GITS is available in both tablet and capsule form.	Drug				Calcium channel blockers									Nifedipine																																								
Night Owls	A night owl is a person who tends to stay up late at night and sleep late in the morning.																																																						
Night vision	The ability to see in low-light conditions.																																																						
Nilotinib	Nilotinib is a medication used to treat certain types of cancer. It is a tyrosine kinase inhibitor that works by blocking the action of certain enzymes that are needed for cancer cells to grow.	Drug																																																					
Nitrates	Nitrates are a type of inorganic fertilizer that are typically used to promote the growth of plants.																																																						
Nitroglycerin	Nitroglycerin is a highly explosive liquid that is used in dynamite and other explosives.	Drug																																																					
NLRP3 inflammasome	The NLRP3 inflammasome is a protein complex that plays a key role in the innate immune response to infection and inflammation. It is composed of three proteins: NLRP3, ASC, and caspase-1. NLRP3 is a sensor protein that recognizes a variety of danger signals, including bacterial toxins and DAMPs (danger-associated molecular patterns). ASC is an adaptor protein that helps to activate caspase-1. Caspase-1 is an enzyme that cleaves pro-inflammatory cytokines, such as IL-1β and IL-18, into their active forms.																																																						
NMDA receptor	The NMDA receptor is a protein found in nerve cells that is involved in memory and learning. The NMDA receptor is activated when it receives both a chemical and electrical signal. This signal allows calcium to enter the cell, which triggers a series of events that lead to the formation of new memories.	Protein																	Nerve cells	Memory	Learning	Calcium																																	
