Entity,Types,Source
Ischemia is a condition in which there is insufficient blood flow to an organ or tissue. This can lead to cell death due to a lack of oxygen and nutrients.,Description,GPT-3
"Ischemic heart disease is a condition in which the heart doesn't receive enough blood. This can be due to a blockage in the arteries that supply blood to the heart. Symptoms may include chest pain, shortness of breath, and fatigue.",Description,GPT-3
Isentress is an antiviral medication used to treat HIV/AIDS. It is a type of antiretroviral drug which works by inhibiting the HIV virus from replicating.,Description,GPT-3
"The definition of isolation is the state of being alone, separated, or withdrawn from others.",Description,GPT-3
Isoniazid is an antibiotic used to treat tuberculosis.,Description,GPT-3
Isoproterenol is a synthetic catecholamine with potent beta-adrenergic agonist activity. It has little or no effect on alpha-adrenergic receptors. Isoproterenol is used to treat bradycardia and heart block.,Description,GPT-3
"Isothiocyanate is a class of organic compounds that contain the -N=C=S group. This group is derived from the thiocyanate ion, -SCN. Isothiocyanates are typically produced by the reaction of amines with thiocyanates.",Description,GPT-3
"Isuprel is a brand name for the medication isoproterenol, which is a type of beta-adrenergic receptor agonist. This medication is used to treat a variety of conditions, such as heart failure, asthma, and bronchospasm. It works by relaxing the smooth muscles in the lungs and heart, which allows for easier breathing and improved blood flow.",Description,GPT-3
Itraconazole is an antifungal medication that is used to treat infections caused by fungi. It is also used to prevent infections in people who are at risk for developing them.,Description,GPT-3
One international unit is defined as the specific amount of a substance that produces a specified effect on a biological system.,Description,GPT-3
"Jet lag is a condition that is caused by traveling across time zones. It is characterized by fatigue, insomnia, and other symptoms.",Description,GPT-3
"Joint pain is a common symptom of many types of arthritis. Joint pain is also referred to as arthralgia. Joint pain is usually a result of inflammation of the joint, but it can also be caused by injury or disease.",Description,GPT-3
"Judo is a Japanese martial art and Olympic sport. The goal is to either throw or takedown an opponent to the ground, immobilize or otherwise subdue an opponent with a pin, or force an opponent to submit with a joint lock or a choke.",Description,GPT-3
"Kale is a leafy green vegetable that is part of the cabbage family. It is high in vitamins A, C, and K, and is a good source of fiber.",Description,GPT-3
Kaletra is a brand name for the antiretroviral drug lopinavir/ritonavir. It is used to treat HIV/AIDS.,Description,GPT-3
"This Kava plant is a tropical evergreen shrub that can grow up to 10 feet tall. The leaves are dark green and glossy, and the flowers are white or pale yellow. The roots of the plant are used to make a drink that is said to have a calming effect.",Description,GPT-3
"Kefir is a fermented milk drink that originated in the Caucasus region. It is made by adding kefir grains to milk, which then ferment and produce lactic acid. This gives kefir its sour taste and thick, creamy texture. Kefir is a good source of probiotics, which are beneficial for gut health.",Description,GPT-3
Keflex is a type of antibiotic used to treat bacterial infections.,Description,GPT-3
Ketamine is a medication used to induce anesthesia.,Description,GPT-3
Ketosis is a state in which the body is using fat for energy instead of carbohydrates.,Description,GPT-3
"A key is a small, thin piece of metal with sharp teeth on one end and a round head on the other. It is used to open and close locks.",Description,GPT-3
"Khella is a plant that is native to North Africa and the Middle East. It is a member of the Apiaceae family, which includes carrots, celery, and parsley. The plant grows to a height of 2-3 feet and has small, white flowers. The leaves are deeply lobed and have a pungent, bitter taste. The root is thick and fleshy, and can be up to 12 inches long. Khella has been used for centuries in traditional medicine to treat a variety of conditions, including digestive problems, respiratory infections, and skin conditions.",Description,GPT-3
"Kidney beans are a type of common bean. They are named for their shape, which resembles a kidney. Kidney beans are commonly used in chili and are also a key ingredient in red beans and rice.",Description,GPT-3
"Kidney damage is a health condition where the kidneys are damaged and cannot function properly. This can lead to a build-up of toxins in the body, and can eventually lead to kidney failure.",Description,GPT-3
Kidney dialysis is a treatment for kidney failure that removes waste and excess water from the blood.,Description,GPT-3
A kidney disorder is a medical condition that affects the function of the kidneys.,Description,GPT-3
"Kidney failure is a condition in which the kidneys are no longer able to function properly. This can be due to a variety of reasons, including damage to the kidneys, a decrease in kidney function, or an increase in the amount of waste products in the blood. Kidney failure can lead to a number of serious health problems, including anemia, high blood pressure, and kidney stones.",Description,GPT-3
"Kidney stones are small, hard deposits that form in the kidney. They are made up of minerals and acid salts and can vary in size from a grain of sand to a pea.",Description,GPT-3
The kidneys are a pair of organs that filter blood and produce urine.,Description,GPT-3
Kids are young human beings.,Description,GPT-3
"Kimchee is a Korean dish made of fermented vegetables, typically cabbage.",Description,GPT-3
"Kiwifruit, also known as Chinese gooseberry, is a fruit that grows on vines in temperate climates. The most common variety is oval-shaped with green skin and tiny black seeds. The flesh is white or yellow and has a sweet-tart flavor. Kiwifruit is an excellent source of vitamins C and E, as well as potassium and fiber.",Description,GPT-3
"Knee osteoarthritis is a degenerative joint disease that affects the knee joint. It is characterized by the breakdown of the cartilage that covers the bones in the joint, as well as the formation of new bone growths (osteophytes) that can cause pain and stiffness.",Description,GPT-3
"Knee pain is a common complaint that can be caused by a wide variety of problems. The knee is a complex joint and can be affected by conditions affecting the bones, cartilage, ligaments, and tendons.",Description,GPT-3
The knees are a pair of joints in the legs that allow the legs to bend.,Description,GPT-3
This Kratom plant is a tropical evergreen tree in the coffee family (Rubiaceae) native to Southeast Asia in the Indochina and Malesia floristic regions. Its leaves are used for medicinal purposes. The leaves of the kratom tree are a dark green color and can grow to over 7 inches (18 cm) in length. They are often sold dried and ground into a powder.,Description,GPT-3
"Krill oil is a type of fish oil that is derived from krill, a small crustacean that is found in the ocean. Krill oil contains omega-3 fatty acids, which are beneficial for health.",Description,GPT-3
"This kudzu plant has large, heart-shaped leaves that are dark green in color. The leaves are arranged in pairs along the stem. The stem is woody and can grow up to 30 feet in length. Kudzu produces small, purple flowers that bloom in the summer. The flowers are followed by small, brown seed pods. Kudzu is a fast-growing plant that can climb and cover other plants. It is native to Asia but has been introduced to North America.",Description,GPT-3
L-arginine is an amino acid that is necessary for the body to make proteins. It is also required for the body to remove ammonia from the blood.,Description,GPT-3
"L-Ascorbic acid is a naturally occurring organic compound with antioxidant properties. It is a white solid, but is typically sold as a yellow powder. It is soluble in water and insoluble in organic solvents.",Description,GPT-3
L-Carnitine is an amino acid that is found in red meat and other animal products. It is also made in the body from the amino acids lysine and methionine. L-Carnitine helps the body turn fat into energy.,Description,GPT-3
L-Dopa is a dopamine precursor that is used as a medication to treat Parkinson's disease and dopamine-responsive dystonia. It can be taken by mouth or given as an injection.,Description,GPT-3
L-Theanine is an amino acid that is found in green tea. It has been shown to promote relaxation and reduce stress.,Description,GPT-3
L-Tryptophan is an amino acid that is used in the biosynthesis of proteins. It is also a precursor to the neurotransmitter serotonin and the hormone melatonin.,Description,GPT-3
"L-Tyrosine is an amino acid that is used by the body to produce dopamine, norepinephrine, and epinephrine.",Description,GPT-3
Lactobacillus acidophilus is a type of bacteria that is commonly found in the gut. These bacteria are important for maintaining a healthy gut flora.,Description,GPT-3
"L.reuteri is a species of lactic acid bacteria. It is a Gram-positive, rod-shaped bacterium that is a normal inhabitant of the human gastrointestinal tract.",Description,GPT-3
Lactation is the process of producing milk from the mammary glands.,Description,GPT-3
"Lactobacillus reuteri is a species of lactic acid bacteria. It is a Gram-positive, rod-shaped bacterium that is a normal inhabitant of the human gastrointestinal tract.",Description,GPT-3
Lactocytes are cells in the mammary gland that secrete milk.,Description,GPT-3
Laetrile is a natural substance found in apricot pits and other fruits that is sometimes used as an alternative cancer treatment.,Description,GPT-3
Lamisil is an antifungal medication that is used to treat infections caused by fungi.,Description,GPT-3
Language is a system of symbols and rules used for communication.,Description,GPT-3
"Lanoxin is a brand name for the drug digoxin, which is used to treat heart failure and irregular heartbeats. Digoxin works by increasing the force of contraction of the heart muscle and slowing the heart rate.",Description,GPT-3
Laser therapy is a medical treatment that uses focused light to treat various conditions.,Description,GPT-3
Lasix is a medication used to treat fluid retention and edema. It is a diuretic that works by increasing urine output.,Description,GPT-3
The definition of Latin names is a system of naming things in which each thing is given a name that is derived from a word in Latin.,Description,GPT-3
"Lavandula angustifolia, or English lavender, is a flowering plant in the mint family. It is native to the Mediterranean region and is widely cultivated as an ornamental plant. The flowers are pinkish-purple and the plant has a strong, aromatic scent.",Description,GPT-3
"LDL is a type of lipoprotein that transports cholesterol and triglycerides through the bloodstream. LDL is considered ""bad"" cholesterol because it can build up on the walls of arteries, causing them to narrow and harden.",Description,GPT-3
"A leaky blood-brain barrier is a health condition where the blood-brain barrier is not functioning properly. This can lead to various problems such as neurological disorders, infections, and even death.",Description,GPT-3
"Leaky gut syndrome is a condition in which the lining of the intestines is damaged, allowing bacteria and toxins to leak into the bloodstream. This can lead to a variety of health problems, including inflammation, allergies, and autoimmune diseases.",Description,GPT-3
"Left ventricular dysfunction is a condition in which the left ventricle of the heart is not able to pump blood effectively. This can lead to symptoms such as shortness of breath, fatigue, and chest pain.",Description,GPT-3
The quality or state of being legal.,Description,GPT-3
"This lemon balm plant has large, fragrant leaves that are used to make teas and other herbal preparations. The leaves are green and have a lemon-like scent. The plant blooms in the summer with small, white flowers.",Description,GPT-3
"Lentils are a type of legume that is often used in soups and stews. They are small, round, and have a earthy flavor.",Description,GPT-3
"Leprosy is a chronic, infectious disease that affects the skin and nerves. It is caused by the bacterium Mycobacterium leprae. Leprosy is also known as Hansen's disease. Early symptoms of leprosy include numbness, loss of sensation, and muscle weakness. Without treatment, leprosy can cause deformities, disability, and death. Leprosy is curable with antibiotics.",Description,GPT-3
Lettuce is a leafy green vegetable that is often used in salads.,Description,GPT-3
"Levothyroxine is a synthetic thyroid hormone used to treat hypothyroidism, a condition in which the thyroid gland does not produce enough thyroid hormone.",Description,GPT-3
Libido is a person's sex drive.,Description,GPT-3
"This Lice health condition is a parasitic infestation of the head, caused by the louse. It is characterized by itching and scratching of the scalp, as well as the presence of lice eggs (nits) on the hair shafts.",Description,GPT-3
The definition of licorice root is a plant that is native to southern Europe and Asia. The root is used to make a sweetener and is also used in traditional medicine.,Description,GPT-3
A life challenge is a problem or obstacle that must be overcome in order to achieve a goal.,Description,GPT-3
The lifespan of a particular species is the average number of years that members of that species can expect to live.,Description,GPT-3
The definition of lifestyle is the way in which a person or group lives.,Description,GPT-3
A lifting belt is a device worn around the waist to help support the back and improve the user's posture during lifting.,Description,GPT-3
"A ligament is a short band of tough, fibrous connective tissue that connects two bones or cartilages or holds together a joint.",Description,GPT-3
The definition of light is the natural agent that stimulates sight and makes things visible.,Description,GPT-3
The amount of light that a person or object is exposed to.,Description,GPT-3
"A light pad is a thin, portable device that emits light. It is often used to trace images or for viewing transparencies.",Description,GPT-3
Light therapy is a type of treatment that uses a specific wavelength of light to treat seasonal affective disorder (SAD) and other conditions.,Description,GPT-3
Light viewing is the process of looking at something in a well-lit area.,Description,GPT-3
The definition of lighting is the natural or artificial light that is used to illuminate an area.,Description,GPT-3
The definition of likely effective is that a treatment is probably going to work.,Description,GPT-3
"The Natural Medicines Comprehensive Database (NMCD) rates the effectiveness of natural medicines and supplements based on scientific evidence according to the following scale: Effective, Likely Effective, Possibly Effective, Possibly Ineffective, Likely Ineffective, Ineffective, and Insufficient Evidence to Rate.",Description,GPT-3
"Lima beans are a type of bean that is typically green or white in color. They are named after the capital city of Peru, which is where they were first cultivated.",Description,GPT-3
"as the term ""limbic friction"" is not well defined. It could refer to the physical sensation of friction experienced when rubbing the skin of the limbs, or it could refer to the emotional or psychological friction that can occur when interacting with others.",Description,GPT-3
A diet with limited food variety is one in which a person only eats a few different types of foods.,Description,GPT-3
Limited sun exposure is defined as exposure to the sun that is not intense or prolonged.,Description,GPT-3
Linear implementation mode is a type of project implementation in which activities are completed one after the other in a sequential order. This is in contrast to other modes such as concurrent or phased implementation.,Description,GPT-3
This plant is a member of the Linum genus and its scientific name is Linum usitatissimum. It is commonly known as flaxseed and is an annual herb that grows to a height of about 1.5m. The leaves are linear and the flowers are blue or white. The fruit is a capsule containing several seeds.,Description,GPT-3
Lipase is an enzyme that catalyzes the hydrolysis of fats.,Description,GPT-3
"A lipid imbalance is a health condition where there is an imbalance of lipids in the body. This can be caused by a variety of factors, including diet, lifestyle, and medications.",Description,GPT-3
"Lipids are a type of biomolecule that includes fats, oils, waxes, and certain vitamins. They are insoluble in water and are typically found in cell membranes.",Description,GPT-3
A lipoprotein is a biochemical assembly that contains both lipid (fat) and protein molecules.,Description,GPT-3
Lipoprotein(a) is a type of protein that is found in the blood and helps to transport fats. It is made up of both fat and protein.,Description,GPT-3
"A liposome is a spherical sac made from a phospholipid bilayer that encloses its contents, like a biological cell membrane.",Description,GPT-3
Lisinopril is an ACE inhibitor. It is used to treat high blood pressure and congestive heart failure.,Description,GPT-3
"Lithium is a soft, silver-white metal that is part of the alkali metal group. It is the lightest metal in the group and is the least reactive. Lithium is used in batteries, alloys, and glass.",Description,GPT-3
"Lithobid is a medication used to treat manic episodes associated with bipolar disorder. It is a long-acting form of lithium, which works by stabilizing the mood.",Description,GPT-3
Livalo is a prescription medication used to treat high cholesterol and triglyceride levels in the blood. It works by reducing the production of cholesterol in the liver.,Description,GPT-3
"The liver is a large, meaty organ that sits on the right side of the stomach. The liver has many functions, including filtering toxins from the blood, making bile to help digest fat, and storing nutrients.",Description,GPT-3
"There are many different types of liver conditions, all of which can lead to different symptoms. Some common symptoms of liver conditions include fatigue, jaundice, nausea, and abdominal pain. Liver conditions can be caused by a variety of factors, including viral infections, alcohol abuse, and certain medications. Treatment for liver conditions varies depending on the cause, but may include medication, surgery, or lifestyle changes.",Description,GPT-3
"Liver disease is a general term for any damage to, or disease of, the liver. It can be caused by a viral infection, such as hepatitis, or by a problem with the liver itself, such as fatty liver disease.",Description,GPT-3
A liver transplant is a surgical procedure to remove a diseased liver and replace it with a healthy liver from another person.,Description,GPT-3
"Longwave light therapy (LLT) is a type of light therapy that uses long-wavelength, red light to treat a variety of skin conditions. LLT is also sometimes called infrared light therapy or red light therapy.",Description,GPT-3
Lodosyn is a medication used to treat low blood levels of potassium. It is a type of potassium supplement.,Description,GPT-3
"Lonasen is an anticonvulsant medication used to treat certain types of seizures in adults and children. It is also used to treat neuropathic pain in adults. Lonasen works by decreasing nerve signals that cause seizures and pain. It is available as tablets and as an oral suspension. Common side effects include dizziness, drowsiness, nausea, and headache.",Description,GPT-3
"Long duration endurance is the ability to sustain a moderate to high level of physical activity for extended periods of time. This type of endurance is important for activities such as distance running, cycling, and swimming.",Description,GPT-3
The definition of long-term is something that will last for a long time or something that happens over a long period of time.,Description,GPT-3
Long-term memory is the part of the memory that stores information for a long period of time.,Description,GPT-3
The definition of longevity is the length of time a particular species of animal or plant lives or is expected to live.,Description,GPT-3
Longwave light is a type of electromagnetic radiation with a relatively long wavelength.,Description,GPT-3
Lopinavir is a protease inhibitor that is used in combination with other antiretroviral drugs to treat HIV infection.,Description,GPT-3
"Losartan is an oral medication that belongs to a class of drugs called angiotensin II receptor antagonists. It is used to treat hypertension (high blood pressure), congestive heart failure, and to reduce the risk of stroke in people with hypertension and left ventricular hypertrophy (enlargement of the heart).",Description,GPT-3
"Lotensin is a brand name for the prescription drug benazepril, which is used to treat high blood pressure.",Description,GPT-3
"Lou Gehrig disease, also known as amyotrophic lateral sclerosis (ALS), is a progressive neurodegenerative disease that affects nerve cells in the brain and the spinal cord. The disease is named after Lou Gehrig, a famous baseball player who was diagnosed with ALS in 1939.",Description,GPT-3
Lovastatin is a prescription drug that lowers cholesterol and triglycerides in the blood.,Description,GPT-3
Low blood pressure is a condition in which the blood pressure in the arteries is lower than normal.,Description,GPT-3
A condition in which the bones have been weakened and are more likely to break.,Description,GPT-3
"A low carbohydrate diet is a diet that restricts carbohydrates, such as those found in sugary foods, pasta and bread. It is typically high in protein and fat.",Description,GPT-3
"Low muscle mass is a health condition characterized by a decrease in the amount of muscle tissue in the body. This can lead to weakness, fatigue, and a decrease in the ability to perform physical activities.",Description,GPT-3
"Low-back pain is a condition in which the person experiences pain in the lower back. This can be due to a variety of reasons, including muscle strain, poor posture, or an injury.",Description,GPT-3
LSD is a psychedelic drug that was first synthesized in 1938. It is known for its ability to produce powerful hallucinations and alter a person's perception of reality.,Description,GPT-3
Lucid dreams are dreams in which the dreamer is aware that they are dreaming.,Description,GPT-3
"The lumen is the space within a tubular structure, such as a blood vessel or the intestine, through which fluid flows.",Description,GPT-3
Lung cancer is a type of cancer that starts in the lungs. The lungs are two spongy organs in your chest that take in oxygen and release carbon dioxide.,Description,GPT-3
"Lung infections are infections that affect the lungs. They can be caused by bacteria, viruses, or fungi.",Description,GPT-3
"The lungs are a pair of organs in the chest that are responsible for breathing. They are made up of thin, elastic tissues that expand and contract as we breathe in and out. The lungs are surrounded by a thin layer of tissue called the pleura. The pleura helps to protect the lungs and keep them from drying out.",Description,GPT-3
"Lutein is a yellow pigment found in fruits and vegetables. It is also found in the eye, where it helps protect against age-related macular degeneration.",Description,GPT-3
The definition of Luvox is a selective serotonin reuptake inhibitor (SSRI) antidepressant medication used to treat major depressive disorder and obsessive-compulsive disorder (OCD).,Description,GPT-3
"Lycopene is a red pigment found in plants and fruits, especially tomatoes. It is a powerful antioxidant that has been linked to a reduced risk of cancer and heart disease.",Description,GPT-3
"Lyme disease is a bacterial infection that can be transmitted to humans through the bite of an infected tick. Symptoms of Lyme disease can include fever, rash, joint pain, and fatigue. If left untreated, Lyme disease can lead to more serious health problems, including neurological problems and heart problems.",Description,GPT-3
"Lymphatic drainage is a type of massage that helps to promote the natural drainage of the lymph, which carries waste products away from the tissues and helps to boost the immune system.",Description,GPT-3
"Ma huang is a Chinese herb that has been used for centuries in traditional Chinese medicine. The herb is made from the dried leaves and stems of the plant Ephedra sinica. Ma huang has been used to treat a variety of conditions, including colds, flu, and bronchitis.",Description,GPT-3
"Maca is a root vegetable that is native to the Andes Mountains in Peru. It has been used for centuries by the indigenous people of the region for its nutritional and medicinal properties. Maca is a member of the cruciferous family of vegetables, which includes broccoli, cabbage, and kale. The root is typically dried and powdered, and can be found in capsules, tablets, and powders. Maca is rich in vitamins, minerals, and amino acids, and has been shown to boost energy levels, improve fertility, and enhance sexual function.",Description,GPT-3
Macaroni is a type of pasta made from durum wheat.,Description,GPT-3
A mackerel is a type of fish that is found in the ocean. It has a long body and a silver-colored skin.,Description,GPT-3
"Macular degeneration is a health condition that causes the deterioration of the macula, which is the central area of the retina. This condition can lead to the loss of central vision.",Description,GPT-3
"Magnesium is a chemical element with the symbol Mg and atomic number 12. It is a shiny gray solid which bears a close physical resemblance to the other five elements in the second column (group 2, or alkaline earth metals) of the periodic table: all group 2 elements have the same electron configuration in the outer electron shell and a similar crystal structure.",Description,GPT-3
"Magnesium deficiency is a health condition where the body does not have enough magnesium. This can lead to symptoms such as muscle cramps, fatigue, anxiety, and difficulty sleeping.",Description,GPT-3
Magnesium threonate is a magnesium salt with the formula Mg3(C6H8O6)2. It is a white solid that is soluble in water.,Description,GPT-3
Magnetic therapies are therapies that use magnetic fields to treat a variety of conditions.,Description,GPT-3
"A magnet is a material or object that produces a magnetic field. This magnetic field is invisible but is responsible for the most notable property of a magnet: a force that pulls on other materials, such as iron, and attracts or repels them.",Description,GPT-3
"Malaria is a disease caused by a parasite that is transmitted to humans through the bites of infected mosquitoes. The disease is characterized by fever, chills, and flu-like symptoms. In severe cases, it can lead to death.",Description,GPT-3
A male is a person who was born with male genitalia.,Description,GPT-3
"Malnutrition is a health condition that can be caused by a lack of nutrients in the diet, an inability to absorb nutrients, or an excessive loss of nutrients. Malnutrition can lead to a variety of health problems, including wasting, stunting, and micronutrient deficiencies.",Description,GPT-3
The definition of managing symptoms is the process of identifying and treating the symptoms of a disease or condition.,Description,GPT-3
"Manganese is a chemical element with the symbol Mn and atomic number 25. It is not found as a free element in nature; it is often found in minerals in combination with iron. Manganese is a metal with important industrial metal alloy uses, particularly in stainless steels.",Description,GPT-3
"Manganese deficiency is a health condition that can be caused by a lack of manganese in the diet. Symptoms of manganese deficiency include fatigue, weakness, and muscle cramps.",Description,GPT-3
"A mango is a tropical fruit that is typically oval or kidney-shaped, with a large, fleshy body and a thin skin. The flesh is often a deep yellow, orange, or red color, with a sweet, juicy flavor.",Description,GPT-3
"A mango is a tropical fruit that is typically oval or kidney-shaped, with a large, fleshy body and a thin skin. The flesh of a mango is orange or yellow in color, with a large, hard seed in the center.",Description,GPT-3
"The mangosteen is a tropical fruit that is native to Southeast Asia. It is a small, round fruit that has a thick, purple skin and white flesh. The flesh of the mangosteen is sweet and tangy, and it is often used in juices and desserts.",Description,GPT-3
"MAOIs are a class of drugs that inhibit the monoamine oxidase enzyme. This enzyme is responsible for breaking down monoamines, which are neurotransmitters that include serotonin, norepinephrine, and dopamine. When monoamines are not broken down, they can accumulate to potentially dangerous levels. MAOIs are used to treat conditions like depression and anxiety.",Description,GPT-3
A marginal decade is a period of time during which a small change or no change occurs.,Description,GPT-3
"The definition of marigolds is a plant of the genus Tagetes, having showy yellow, orange, or red flowers that are often cultivated as annuals.",Description,GPT-3
"Marijuana is a psychoactive drug from the Cannabis plant, used for medical or recreational purposes.",Description,GPT-3
"Marinara is a type of Italian tomato sauce that is typically made with tomatoes, garlic, herbs, and onions.",Description,GPT-3
A marine is a member of the armed forces who specializes in naval and amphibious warfare.,Description,GPT-3
"Marinol is a synthetic form of tetrahydrocannabinol (THC), which is the main active ingredient in marijuana. It is used to treat nausea and vomiting caused by cancer chemotherapy and to increase appetite in people with AIDS.",Description,GPT-3
The maritime pine is a species of pine that is native to the Mediterranean Basin.,Description,GPT-3
Massage is generally defined as the manipulation of soft tissue for therapeutic purposes.,Description,GPT-3
"Massage therapy is a type of therapy that involves manipulating the soft tissues of the body, such as the muscles, ligaments, tendons, and connective tissues. It is a manual therapy, meaning that the therapist uses their hands to perform the massage. Massage therapists use various techniques, such as kneading, rubbing, tapping, and applying pressure to the body’s soft tissues. The goal of massage therapy is to reduce pain, improve range of motion, relax the body, and stimulate circulation. Massage therapy is helpful in treating a wide range of conditions, including neck and back pain, chronic tension headaches, fibromyalgia, and stress-related conditions.",Description,GPT-3
"Mastalgia is a medical term used to describe breast pain. The pain may be described as sharp, dull, aching, or throbbing, and it may be constant or intermittent. The pain may be localized to a specific area of the breast, or it may be felt throughout the breast. Mastalgia is a common condition, and it can occur at any age.",Description,GPT-3
Masturbation is the self-stimulation of the genitals for sexual pleasure.,Description,GPT-3
Mating is the process of two animals coming together to produce offspring.,Description,GPT-3
"A microgram is a unit of measurement in the metric system. One microgram is equal to one millionth of a gram, or one thousandth of a milligram.",Description,GPT-3
One microgram per litre is equal to one part per million.,Description,GPT-3
"MDMA is a synthetic drug that alters mood and perception. It is a member of the amphetamine class of drugs and has stimulant and hallucinogenic properties. MDMA is commonly known as ""ecstasy"" or ""molly"".",Description,GPT-3
"The Meadowsweet plant is a perennial herb that is native to Europe and Asia. It is a member of the rose family and has a sweet, honey-like fragrance. The plant grows to a height of 2-3 feet and has white or pink flowers that bloom in the summer. The leaves of the plant are used to make a tea that is said to be helpful in the treatment of colds, flu, and stomach problems.",Description,GPT-3
"The definition of meaning is the message conveyed by a text, either spoken or written.",Description,GPT-3
"Measles is a highly contagious viral infection that causes fever, runny nose, cough, and a rash all over the body.",Description,GPT-3
"The definition of measurement is the act or process of measuring or the size, amount, or degree of something.",Description,GPT-3
Meat is the edible flesh of animals.,Description,GPT-3
Mechanical ventilation is the process of moving air into and out of the lungs using a machine.,Description,GPT-3
A mechanism is a device that is used to create or control movement.,Description,GPT-3
"A mechano-sensor is a type of sensor that responds to mechanical stimuli, such as pressure, vibration, or acceleration.",Description,GPT-3
"The definition of media is the communication channels through which news, entertainment, education, data, or promotional messages are disseminated.",Description,GPT-3
Mediation is a process in which a mediator facilitates communication between parties to help them reach a resolution.,Description,GPT-3
A mediator is a person who helps two or more people to reach an agreement by communicating between them.,Description,GPT-3
"The definition of medical use is the use of a drug or other substance for the diagnosis, treatment, or prevention of a disease or other condition.",Description,GPT-3
Medications are drugs that are used to treat or prevent illness.,Description,GPT-3
"There is no one-size-fits-all answer to this question, as the best medication for an overactive thyroid will vary depending on the individual's specific situation. However, some common medications used to treat an overactive thyroid include beta blockers, which can help to control the symptoms of hyperthyroidism; antithyroid drugs, which can help to reduce the production of thyroid hormones; and radioactive iodine, which can help to destroy the overactive thyroid tissue.",Description,GPT-3
"Some possible medications for asthma include bronchodilators, corticosteroids, and leukotriene inhibitors.",Description,GPT-3
"Some possible medications for diabetes include insulin, metformin, and sulfonylureas.",Description,GPT-3
"There is no one-size-fits-all answer to this question, as the best medication for inflammation will vary depending on the individual's specific medical situation. However, some common medications used to treat inflammation include non-steroidal anti-inflammatory drugs (NSAIDs), corticosteroids, and immunosuppressants.",Description,GPT-3
"A pump is a device that moves fluids (liquids or gases) by mechanical action. Pumps can be classified into three major groups according to the method they use to move the fluid: positive displacement, centrifugal, and axial flow pumps.",Description,GPT-3
"Some potential medications that could harm the liver include acetaminophen, certain antibiotics, antifungals, and some cancer treatments.",Description,GPT-3
Medications that decrease break down of other medications by the liver are called enzyme inhibitors.,Description,GPT-3
Medications that decrease the breakdown of other medications by the liver are called enzyme inhibitors.,Description,GPT-3
"The definition of medicine is the science and practice of diagnosing, treating, and preventing disease.",Description,GPT-3
"Meditation is a practice that involves focusing the mind on a particular object or thought in order to achieve a state of relaxation, mindfulness, and clarity. It can be practiced in many different ways, ranging from simple breathing exercises to complex mantras. Meditation has a wide range of benefits, including stress reduction, improved concentration, increased self-awareness, and enhanced creativity. It can also be used as a tool for spiritual growth and spiritual connection. Practicing meditation regularly can help to create a sense of balance and peace in one’s life.",Description,GPT-3
The definition of medium-term is a period of time in the future that is not too far away and is not too close.,Description,GPT-3
Melanopsin is a protein found in the retina that is responsible for controlling the body's circadian rhythm.,Description,GPT-3
Melatonin is a hormone that is produced by the pineal gland in the brain. It is involved in the body's sleep-wake cycle and helps to regulate the body's circadian rhythm.,Description,GPT-3
"The definition of memory is the ability to remember information, experiences, and people.",Description,GPT-3
"A memory disorder is a condition that affects a person's ability to remember, either in the short or long term.",Description,GPT-3
The definition of men is adult male human beings.,Description,GPT-3
"There is no one-size-fits-all definition of men’s health, but it generally includes topics such as sexual and reproductive health, mental health, and physical fitness.",Description,GPT-3
The definition of menopausal symptoms is the physical and emotional changes that women experience as they approach and go through menopause.,Description,GPT-3
The Menopause health condition is a time in a woman's life when her menstrual periods stop and she can no longer become pregnant.,Description,GPT-3
"Menstrual cramps are a type of pain that women experience during their menstrual cycle. The pain is caused by the uterus contracting in order to shed the endometrium, the lining of the uterus.",Description,GPT-3
The definition of menstruation is the process in a woman's reproductive cycle when the lining of the uterus is shed through the vagina.,Description,GPT-3
The definition of mental is relating to the mind.,Description,GPT-3
"Mental alertness is the state of being aware and able to think, learn, and remember.",Description,GPT-3
Mental clarity is the state of being able to think clearly and rationally. It is the ability to think without being distracted or confused.,Description,GPT-3
Mental focus is the ability to direct and maintain one's attention on a particular task or activity.,Description,GPT-3
"Mental health is a state of well-being in which an individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community.",Description,GPT-3
"Mental health disorders are conditions that affect a person's mood, thinking, and behavior. They can range from mild to severe and can be caused by a variety of factors, including genetics, environment, and stress.",Description,GPT-3
"Mental resilience is the ability to mentally and emotionally withstand and recover from difficult situations. It is the ability to persevere through challenges and setbacks, and to maintain a positive outlook despite adversity.",Description,GPT-3
Mental toughness is the ability to maintain focus and confidence in the face of adversity. It is the ability to persevere through difficult circumstances and to maintain a positive outlook in the face of setbacks. Mental toughness is a key ingredient in the recipe for success.,Description,GPT-3
"Mental training is the process of preparing your mind for optimal performance. This can be done through a variety of techniques, such as visualization, positive self-talk, and relaxation.",Description,GPT-3
"Mentha spicata is a species of mint that is native to Europe and Asia. It is a perennial plant that grows to a height of 30–100 cm (12–39 in). The leaves are lanceolate, tomentose, and have a serrated margin. The flowers are white or pink and bloom in summer.",Description,GPT-3
"Mercury is a naturally occurring element that is found in air, water and soil. It is a heavy metal that is liquid at room temperature. Mercury is used in many different industries, including the production of thermometers, fluorescent light bulbs, dental amalgams and batteries.",Description,GPT-3
