Entity,Types,Name,Author,URL,Publish date,Podcast,Podcast episode
"Episode 24: The Science Of Vision, Eye Health & Seeing Better| Huberman Lab",Summary,"Episode 24: The Science Of Vision, Eye Health & Seeing Better| Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-24-the-science-of-vision-eye-health-seeing-better-huberman-lab/,2021-06-18,,"The Science of Vision, Eye Health & Seeing Better"
Episode 26: Dr. Karl Deisseroth: Understanding & Healing the Mind | Huberman Lab,Summary,Episode 26: Dr. Karl Deisseroth: Understanding & Healing the Mind | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-26-dr-karl-deisseroth-understanding-healing-the-mind-huberman-lab/,2021-07-01,,Dr. Karl Deisseroth: Understanding & Healing the Mind
"Episode 27: The Science Of Hearing, Balance & Accelerated Learning | Huberman Lab",Summary,"Episode 27: The Science Of Hearing, Balance & Accelerated Learning | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-27-the-science-of-hearing-balance-accelerated-learning-huberman-lab/,2021-07-08,,"The Science of Hearing, Balance & Accelerated Learning"
"Episode 03: Heat, Cold & Other Stressors For Longevity | Lifespan With Dr. David Sinclair",Summary,"Episode 03: Heat, Cold & Other Stressors For Longevity | Lifespan With Dr. David Sinclair",Podcast Notes,https://podcastnotes.org/lifespan-with-dr-david-sinclair/episode-3-heat-cold-other-stressors-for-longevity-lifespan-with-dr-david-sinclair/,2022-02-08,,"Exercise, Heat, Cold & Other Stressors for Longevity"
Episode 30: How To Optimize Your Brain-Body Function & Health | Huberman Lab,Summary,Episode 30: How To Optimize Your Brain-Body Function & Health | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-30-how-to-optimize-your-brain-body-function-health-huberman-lab/,2021-07-30,,How to Optimize Your Brain-Body Function & Health
Episode 31: Dr. Matthew Walker: The Science & Practice Of Perfecting Your Sleep| Huberman Lab,Summary,Episode 31: Dr. Matthew Walker: The Science & Practice Of Perfecting Your Sleep| Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-31-dr-matthew-walker-the-science-practice-of-perfecting-your-sleep-huberman-lab/,2021-08-05,,Dr. Matthew Walker: The Science & Practice of Perfecting Your Sleep
Episode 33: Dr. Anna Lembke: Understanding & Treating Addiction | Huberman Lab,Summary,Episode 33: Dr. Anna Lembke: Understanding & Treating Addiction | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-33-dr-anna-lembke-understanding-treating-addiction-huberman-lab/,2021-08-22,,Dr. Anna Lembke: Understanding & Treating Addiction
Episode 34: Understanding & Conquering Depression | Huberman Lab,Summary,Episode 34: Understanding & Conquering Depression | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-34-understanding-conquering-depression-huberman-lab/,2021-08-29,,Understanding & Conquering Depression
"Episode 36: Healthy Eating & Eating Disorders – Anorexia, Bulimia, Binging | Huberman Lab",Summary,"Episode 36: Healthy Eating & Eating Disorders – Anorexia, Bulimia, Binging | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-36-healthy-eating-eating-disorders-anorexia-bulimia-binging-huberman-lab/,2021-09-09,,"Healthy Eating & Eating Disorders – Anorexia, Bulimia, Binging"
Episode 37: ADHD & How Anyone Can Improve Their Focus | Huberman Lab,Summary,Episode 37: ADHD & How Anyone Can Improve Their Focus | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-37-adhd-how-anyone-can-improve-their-focus-huberman-lab/,2021-09-15,,ADHD & How Anyone Can Improve Their Focus
Episode 38: Dr. Matthew Johnson: Psychedelics for Treating Mental Disorders | Huberman Lab,Summary,Episode 38: Dr. Matthew Johnson: Psychedelics for Treating Mental Disorders | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-38-dr-matthew-johnson-psychedelics-for-treating-mental-disorders-huberman-lab/,2021-09-29,,Dr. Matthew Johnson: Psychedelics for Treating Mental Disorders
"Episode 39: Controlling Your Dopamine For Motivation, Focus & Satisfaction | Huberman Lab",Summary,"Episode 39: Controlling Your Dopamine For Motivation, Focus & Satisfaction | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-39-controlling-your-dopamine-for-motivation-focus-satisfaction-huberman-lab/,2021-09-29,,"Controlling Your Dopamine For Motivation, Focus & Satisfaction"
"Episode 04: NMN, NR, Resveratrol, Metformin & Other Longevity Molecules The Science Of Setting & Achieving Goals | Lifespan With Dr. David Sinclair",Summary,"Episode 04: NMN, NR, Resveratrol, Metformin & Other Longevity Molecules The Science Of Setting & Achieving Goals | Lifespan With Dr. David Sinclair",Podcast Notes,https://podcastnotes.org/lifespan-with-dr-david-sinclair/episode-4-nmn-nr-resveratrol-metformin-other-longevity-molecules-the-science-of-setting-achieving-goals-lifespan-with-dr-david-sinclair/,2022-01-29,,"NMN, NR, Resveratrol, Metformin & Other Molecules for Longevity"
"Episode 40: Dr. Craig Heller: Using Temperature To Optimize Performance, Brain & Body Health | Huberman Lab",Summary,"Episode 40: Dr. Craig Heller: Using Temperature To Optimize Performance, Brain & Body Health | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-40-dr-craig-heller-using-temperature-to-optimize-performance-brain-body-health-huberman-lab/,2021-10-07,,"Dr. Craig Heller: Using Temperature for Performance, Brain & Body Health"
Episode 41: Effects Of Fasting & Time Restricted Eating On Fat Loss & Health| Huberman Lab,Summary,Episode 41: Effects Of Fasting & Time Restricted Eating On Fat Loss & Health| Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-41-effects-of-fasting-time-restricted-eating-on-fat-loss-health-huberman-lab/,2021-10-14,,Effects of Fasting & Time Restricted Eating on Fat Loss & Health
Episode 42: Nutrients For Brain Health & Performance | Huberman Lab,Summary,Episode 42: Nutrients For Brain Health & Performance | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-42-nutrients-for-brain-health-performance-huberman-lab/,2021-10-22,,Nutrients For Brain Health & Performance
"Episode 43: Dr. Samer Hattar: Timing Your Light, Food, & Exercise for Optimal Sleep, Energy & Mood | Huberman Lab",Summary,"Episode 43: Dr. Samer Hattar: Timing Your Light, Food, & Exercise for Optimal Sleep, Energy & Mood | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-43-dr-samer-hattar-timing-your-light-food-exercise-for-optimal-sleep-energy-mood-huberman-lab/,2021-10-27,,"Dr. Samer Hattar: Timing Light, Food, & Exercise for Better Sleep, Energy & Mood"
Episode 44: Using Your Nervous System to Enhance Your Immune System | Huberman Lab,Summary,Episode 44: Using Your Nervous System to Enhance Your Immune System | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-44-using-your-nervous-system-to-enhance-your-immune-system-huberman-lab/,2021-11-05,,Using Your Nervous System to Enhance Your Immune System
Episode 45: Dr. Duncan French: How To Exercise For Optimal Strength Gains & Hormone Optimization | Huberman Lab,Summary,Episode 45: Dr. Duncan French: How To Exercise For Optimal Strength Gains & Hormone Optimization | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-45-dr-duncan-french-how-to-exercise-for-optimal-strength-gains-hormone-optimization-huberman-lab/,2021-11-10,,Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization
"Episode 46: Time Perception & Entertainment By Dopamine, Serotonin & Hormones | Huberman Lab",Summary,"Episode 46: Time Perception & Entertainment By Dopamine, Serotonin & Hormones | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-46-time-perception-entertainment-by-dopamine-serotonin-hormones-huberman-lab/,2021-11-17,,"Time Perception & Entrainment by Dopamine, Serotonin & Hormones"
Episode 47: The Science Of Gratitude & How To Build Gratitude Practice | Huberman Lab,Summary,Episode 47: The Science Of Gratitude & How To Build Gratitude Practice | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-47-the-science-of-gratitude-how-to-build-gratitude-practice-huberman-lab/,2021-11-25,,The Science of Gratitude & How to Build a Gratitude Practice
Episode 49: Erasing Fear & Traumas Based On The Modern Neuroscience Of Fear | Huberman Lab,Summary,Episode 49: Erasing Fear & Traumas Based On The Modern Neuroscience Of Fear | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-49-erasing-fear-traumas-based-on-the-modern-neuroscience-of-fear-huberman-lab/,2021-12-14,,Erasing Fears & Traumas Based on the Modern Neuroscience of Fear
"Episode 05: Medical Interventions (TRT, HGH, Stem Cells, Peptides, etc.) For Longevity | Lifespan With Dr. David Sinclair",Summary,"Episode 05: Medical Interventions (TRT, HGH, Stem Cells, Peptides, etc.) For Longevity | Lifespan With Dr. David Sinclair",Podcast Notes,https://podcastnotes.org/lifespan-with-dr-david-sinclair/episode-5-medical-interventions-trt-hgh-stem-cells-peptides-etc-for-longevity-lifespan-with-dr-david-sinclair/,2022-02-08,,"Medical Interventions (TRT, HGH, Stem Cells, etc.) For Longevity"
Episode 50: Dr. David Berson: Understanding Your Brain’s Logic & Function | Huberman Lab,Summary,Episode 50: Dr. David Berson: Understanding Your Brain’s Logic & Function | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-50-dr-david-berson-understanding-your-brains-logic-function-huberman-lab/,2021-12-17,,Dr. David Berson: Your Brain’s Logic & Function
"Episode 51: Science Of Social Bonding In Family, Friendship & Romantic Love | Huberman Lab",Summary,"Episode 51: Science Of Social Bonding In Family, Friendship & Romantic Love | Huberman Lab",Podcast Notes,https://podcastnotes.org/uncategorized/episode-51-science-of-social-bonding-in-family-friendship-romantic-love-huberman-lab/,2021-12-24,,"Science of Social Bonding in Family, Friendship & Romantic Love"
Episode 53: The Science Of Making & Breaking Habits | Huberman Lab,Summary,Episode 53: The Science Of Making & Breaking Habits | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-53-the-science-of-making-breaking-habits-huberman-lab/,2022-01-10,,The Science of Making & Breaking Habits
Episode 54: Dr. Jack Feldman: Breathing For Mental & Physical Health & Performance | Huberman Lab,Summary,Episode 54: Dr. Jack Feldman: Breathing For Mental & Physical Health & Performance | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-54-dr-jack-feldman-breathing-for-mental-physical-health-performance-huberman-lab/,2022-01-15,,Dr. Jack Feldman: Breathing for Mental & Physical Health & Performance
Episode 55: The Science Of Setting & Achieving Goals | Huberman Lab,Summary,Episode 55: The Science Of Setting & Achieving Goals | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-55-the-science-of-setting-achieving-goals-huberman-lab/,2022-01-22,,The Science of Setting & Achieving Goals
Episode 56: Dr. Alia Crum: Science Of Mindsets For Health & Performance | Huberman Lab,Summary,Episode 56: Dr. Alia Crum: Science Of Mindsets For Health & Performance | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-56-dr-alia-crum-science-of-mindsets-for-health-performance-huberman-lab/,2022-02-11,,Dr. Alia Crum: Science of Mindsets for Health & Performance
"Episode 57: Optimizing Workspace For Productivity, Focus, & Creativity | Huberman Lab",Summary,"Episode 57: Optimizing Workspace For Productivity, Focus, & Creativity | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-57-optimizing-workspace-for-productivity-focus-creativity-huberman-lab/,2022-01-31,,"Optimizing Workspace for Productivity, Focus, & Creativity"
Episode 58: Power of Play | Huberman Lab Podcast,Summary,Episode 58: Power of Play | Huberman Lab Podcast,Podcast Notes,https://podcastnotes.org/huberman-lab/power-of-play-huberman-lab-podcast-58/,2022-02-09,,Using Play to Rewire & Improve Your Brain
Episode 06: The Science Of Looking Younger | Lifespan With Dr. David Sinclair,Summary,Episode 06: The Science Of Looking Younger | Lifespan With Dr. David Sinclair,Podcast Notes,https://podcastnotes.org/lifespan-with-dr-david-sinclair/episode-6-the-science-of-looking-younger-lifespan-with-dr-david-sinclair/,2022-02-19,,"The Science of Looking Younger, Longer"
Episode 60: Dr. David Spiegel: Using Hypnosis to Enhance Mental & Physical Health & Performance | Huberman Lab,Summary,Episode 60: Dr. David Spiegel: Using Hypnosis to Enhance Mental & Physical Health & Performance | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-60-dr-david-spiegel-using-hypnosis-to-enhance-mental-physical-health-performance-huberman-lab/,2022-02-24,,Dr. David Spiegel: Using Hypnosis to Enhance Mental & Physical Health & Performance
Episode 61: How To Enhance Your Gut Microbiome For Brain & Overall Health | Huberman Lab,Summary,Episode 61: How To Enhance Your Gut Microbiome For Brain & Overall Health | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-61-how-to-enhance-your-gut-microbiome-for-brain-overall-health-huberman-lab/,2022-03-02,,How to Enhance Your Gut Microbiome for Brain & Overall Health
Episode 63: Using Salt To Optimize Mental & Physical Performance | Huberman Lab,Summary,Episode 63: Using Salt To Optimize Mental & Physical Performance | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-63-using-salt-to-optimize-mental-physical-performance-huberman-lab/,2022-03-17,,Using Salt to Optimize Mental & Physical Performance
Episode 64: Controlling Sugar Cravings & Metabolism With Science-Based Tools | Huberman Lab,Summary,Episode 64: Controlling Sugar Cravings & Metabolism With Science-Based Tools | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-64-controlling-sugar-cravings-metabolism-with-science-based-tools-huberman-lab/,2022-03-23,,Controlling Sugar Cravings & Metabolism with Science-Based Tools
"Episode 65: Dr. Andy Galpin: How to Build Strength, Muscle Size & Endurance| Huberman Lab",Summary,"Episode 65: Dr. Andy Galpin: How to Build Strength, Muscle Size & Endurance| Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-65-dr-andy-galpin-how-to-build-strength-muscle-size-endurance-huberman-lab/,2022-03-31,,"Dr. Andy Galpin: How to Build Strength, Muscle Size & Endurance"
Episode 66: Using Deliberate Cold Exposure for Health and Performance | Huberman Lab Podcast,Summary,Episode 66: Using Deliberate Cold Exposure for Health and Performance | Huberman Lab Podcast,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-66-using-deliberate-cold-exposure-for-health-and-performance-huberman-lab-podcast/,2022-04-12,,Using Deliberate Cold Exposure for Health and Performance
Episode 67: Dr. Kyle Gillett: How to Optimize Your Hormones for Health & Vitality| Huberman Lab,Summary,Episode 67: Dr. Kyle Gillett: How to Optimize Your Hormones for Health & Vitality| Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-67-how-to-optimize-your-hormones-for-health-vitality-huberman-lab/,2022-04-15,,Dr. Kyle Gillett: How to Optimize Your Hormones for Health & Vitality
"Episode 68: Using Light (Sunlight, Blue Light & Red Light) to Optimize Health| Huberman Lab",Summary,"Episode 68: Using Light (Sunlight, Blue Light & Red Light) to Optimize Health| Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-68-using-light-sunlight-blue-light-red-light-to-optimize-health-huberman-lab/,2022-04-21,,"Using Light (Sunlight, Blue Light & Red Light) to Optimize Health"
Episode 69: The Science & Health Benefits Of Deliberate Heat Exposure | Huberman Lab,Summary,Episode 69: The Science & Health Benefits Of Deliberate Heat Exposure | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-69-the-science-health-benefits-of-deliberate-heat-exposure-huberman-lab/,2022-04-28,,The Science & Health Benefits of Deliberate Heat Exposure
Episode 07: The Science Of Keeping The Brain Healthy | Lifespan With Dr. David Sinclair,Summary,Episode 07: The Science Of Keeping The Brain Healthy | Lifespan With Dr. David Sinclair,Podcast Notes,https://podcastnotes.org/lifespan-with-dr-david-sinclair/episode-7-the-science-of-keeping-the-brain-healthy-lifespan-with-dr-david-sinclair/,2022-03-12,,The Science of Keeping the Brain Healthy
Episode 70: Dr. Rhonda Patrick: Micronutrients for Health & Longevity | Huberman Lab,Summary,Episode 70: Dr. Rhonda Patrick: Micronutrients for Health & Longevity | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-70-dr-rhonda-patrick-micronutrients-for-health-longevity-huberman-lab/,2022-05-05,,Dr. Rhonda Patrick: Micronutrients for Health & Longevity
Episode 71: Understanding & Controlling Aggression | Huberman Lab,Summary,Episode 71: Understanding & Controlling Aggression | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-71-understanding-controlling-aggression-huberman-lab/,2022-05-15,,Understanding & Controlling Aggression
Episode 72: Understand & Improve Memory Using Science-Based Tools | Huberman Lab,Summary,Episode 72: Understand & Improve Memory Using Science-Based Tools | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-72-understand-improve-memory-using-science-based-tools-huberman-lab/,2022-05-21,,Understand & Improve Memory Using Science-Based Tools
Episode 73: Dr. Wendy Suzuki – Boost Attention & Memory With Science-Based Tools | Huberman Lab,Summary,Episode 73: Dr. Wendy Suzuki – Boost Attention & Memory With Science-Based Tools | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-73-dr-wendy-suzuki-boost-attention-memory-with-science-based-tools-huberman-lab/,2022-05-26,,Dr. Wendy Suzuki: Boost Attention & Memory with Science-Based Tools
Episode 74: The Science & Process Of Healing From Grief | Huberman Lab,Summary,Episode 74: The Science & Process Of Healing From Grief | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-74-the-science-process-of-healing-from-grief-huberman-lab/,2022-06-04,,"The Science & Process of Healing from Grief"
"Episode 75: Dr. Paul Conti – Therapy, Treating Trauma & Other Life Challenges | Huberman Lab",Summary,"Episode 75: Dr. Paul Conti – Therapy, Treating Trauma & Other Life Challenges | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-75-dr-paul-conti-therapy-treating-trauma-other-life-challenges-huberman-lab/,2022-06-11,,"Dr. Paul Conti: Therapy, Treating Trauma & Other Life Challenges"
Episode 76: Improve Flexibility With Research-Supported Stretching Protocols| Huberman Lab,Summary,Episode 76: Improve Flexibility With Research-Supported Stretching Protocols| Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-76-improve-flexibility-with-research-supported-stretching-protocols-huberman-lab/,2022-06-24,,Improve Flexibility with Research-Supported Stretching Protocols
Episode 77: Ido Portal – The Science & Practice Of Movement | Huberman Lab,Summary,Episode 77: Ido Portal – The Science & Practice Of Movement | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-77-ido-portal-the-science-practice-of-movement-huberman-lab/,2022-06-24,,Ido Portal: The Science & Practice of Movement
Episode 78: The Science & Treatment Of Obsessive-Compulsive Disorder (OCD) | Huberman Lab,Summary,Episode 78: The Science & Treatment Of Obsessive-Compulsive Disorder (OCD) | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-78-the-science-treatment-of-obsessive-compulsive-disorder-ocd-huberman-lab/,2022-07-04,,The Science & Treatment of Obsessive Compulsive Disorder (OCD)
Episode 79: Jeff Cavaliere – Optimize Your Exercise Program With Science-Based Tools | Huberman Lab,Summary,Episode 79: Jeff Cavaliere – Optimize Your Exercise Program With Science-Based Tools | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-79-jeff-cavaliere-optimize-your-exercise-program-with-science-based-tools-huberman-lab/,2022-07-10,,Jeff Cavaliere: Optimize Your Exercise Program with Science-Based Tools
"Episode 08: Biotracking, Age Reversal & Other Advanced Health Technologies | Lifespan With Dr. David Sinclair",Summary,"Episode 08: Biotracking, Age Reversal & Other Advanced Health Technologies | Lifespan With Dr. David Sinclair",Podcast Notes,https://podcastnotes.org/lifespan-with-dr-david-sinclair/episode-8-biotracking-age-reversal-other-advanced-health-technologies-lifespan-with-dr-david-sinclair/,2022-03-09,,"Biotracking, Age Reversal & Other Advanced Health Technologies"
Episode 80: Optimize & Control Your Brain Chemistry To Improve Health & Performance | Huberman Lab,Summary,Episode 80: Optimize & Control Your Brain Chemistry To Improve Health & Performance | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-80-optimize-control-your-brain-chemistry-to-improve-health-performance-huberman-lab/,2022-07-16,,Optimize & Control Your Brain Chemistry to Improve Health & Performance
Episode 81: Dr. Charles Zuker – The Biology Of Taste Perception & Sugar Craving | Huberman Lab,Summary,Episode 81: Dr. Charles Zuker – The Biology Of Taste Perception & Sugar Craving | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-81-dr-charles-zuker-the-biology-of-taste-perception-sugar-craving-huberman-lab/,2022-07-21,,Dr. Charles Zuker: The Biology of Taste Perception & Sugar Craving
Episode 82: The Science & Treatment Of Bipolar Disorder | Huberman Lab,Summary,Episode 82: The Science & Treatment Of Bipolar Disorder | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-82-the-science-treatment-of-bipolar-disorder-huberman-lab/,2022-07-31,,The Science & Treatment of Bipolar Disorder
Episode 83: Dr. Emily Balcetis – Tools For Setting & Achieving Goals | Huberman La,Summary,Episode 83: Dr. Emily Balcetis – Tools For Setting & Achieving Goals | Huberman La,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-83-dr-emily-balcetis-tools-for-setting-achieving-goals-huberman-lab/,2022-08-04,,Dr. Emily Balcetis: Tools for Setting & Achieving Goals
Episode 84: Sleep Toolkit: Tools For Optimizing Sleep & Sleep-Wake Timing | Huberman Lab,Summary,Episode 84: Sleep Toolkit: Tools For Optimizing Sleep & Sleep-Wake Timing | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-84-sleep-toolkit-tools-for-optimizing-sleep-sleep-wake-timing-huberman-lab/,2022-04-23,,Sleep Toolkit: Tools for Optimizing Sleep & Sleep-Wake Timing
"Episode 85: Dr. Peter Attia – Exercise, Nutrition, Hormones For Vitality & Longevity | Huberman Lab",Summary,"Episode 85: Dr. Peter Attia – Exercise, Nutrition, Hormones For Vitality & Longevity | Huberman Lab",Podcast Notes,https://podcastnotes.org/members-only/episode-85-dr-peter-attia-exercise-nutrition-hormones-for-vitality-longevity-huberman-lab-full-premium-notes/,2022-08-21,,"Dr. Peter Attia: Exercise, Nutrition, Hormones for Vitality & Longevity"
"Episode 86: What Alcohol Does To Your Body, Brain & Health | Huberman Lab",Summary,"Episode 86: What Alcohol Does To Your Body, Brain & Health | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-86-what-alcohol-does-to-your-body-brain-health-huberman-lab/,2022-08-25,,"What Alcohol Does to Your Body, Brain & Health"
