,,"Also, more than 10 percent of people who seek substance abuse or mental health treatment in our public health system are homeless.",Fact,Health,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"The issue of opioid abuse has risen to a level of national crisis as the number of people abusing prescription drugs and heroin has dramatically risen, and the rate of opioid-related overdose deaths has tripled since 2000",Problem,Health,Drugs,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,The drug epidemic's effects are felt in unique and notably harmful ways by people who are experiencing homelessness,Problem,Health,Drugs,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Substance use disorders are known risk factors for homelessness, and substance abuse and overdose disproportionately impact homeless people.",Problem,Health,Drugs,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Treatment and preventive care can be difficult to access for people who are experiencing homelessness. This is often because they lack insurance or have difficulty engaging health care providers in the community.,Problem,Health,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Most communities have Federally Qualified Health Centers and more specifically, Health Care for the Homeless Clinics, which provide some basic health services without substantial cost",Solution,Health,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,The advent of the Affordable Care Act has also opened up options by allowing states to expand their Medicaid programs to cover people with very low incomes.,Solution,Health,Support,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"When housing is a platform, people with a substance abuse disorder who are experiencing homelessness have the opportunity to engage in treatment fully without the additional stress of living on the streets.",Solution,Health,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"For chronically homeless people, the intervention of permanent supportive housing provides stable housing coupled with supportive services as needed – a cost-effective solution to homelessness for those with the most severe health, mental health and substance abuse challenges.",Solution,Health,Permanent supportive housing,Chronically homeless,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"A domestic violence experience is common among youth, single adults, and families who become homeless",Fact,Domestic Violence,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"For many, domestic violence is the immediate cause of their homelessness",Fact,Big picture,Domestic Violence,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Survivors of domestic violence may turn to homeless service programs seeking a safe temporary place to stay after fleeing an abusive relationship,Solution,Domestic Violence,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Survivors may turn to homeless service programs primarily because they lack the economic resources to secure or maintain housing after leaving an abusive relationship.,Solution,Finance,Domestic Violence,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"On a single night homeless services providers had more than 48,000 beds set aside for survivors of domestic violence(2019)",Fact,,Domestic Violence,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,The immediate need of a survivor fleeing domestic violence is safety,Fact,Big picture,Domestic Violence,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Some domestic violence survivors may be able to safely stay in their own home with some additional financial support through rental assistance while others may require a stay in an emergency shelter or transitional housing program before re-entering their own independent housing.,Solution,Domestic Violence,Support,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Short- or long-term rental assistance can be used to help domestic violence survivors exit shelter and regain housing,Solution,Domestic Violence,Support,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Having an affordable place to call home is crucial for this population <domestic violance victims>, to both reduce their risk of homelessness as well as the possibility of future violence",Solution,Domestic Violence,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"In 2021, the Coronavirus pandemic interrupted homelessness data collection, specifically the Point-in-Time Count. Thus, the current version of the State of Homelessness reflects limited updates as compared to the previous year. Since 2020 was the last year for which full Point-in-Time data is available, the analysis and charts focused on that year continue to be highlighted here. Updated and new sections are flagged in the report’s subheadings.",Fact,,Covid-19,Data,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"In January 2020 , there were 580,466 people experiencing homelessness on our streets and in shelters in America",Fact,Big picture,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"<2022> Most <homeless> were individuals (70 percent), and the rest were people in families with children. ",Fact,Big picture,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Decision-makers are often concerned about children and young people due to their developmental needs and the potential life-long consequences of hardships in early in life,Fact,Policy,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,People in families with children make up 30 percent of the homeless population.,Fact,Big picture,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Unaccompanied youth (under age 25) account for six percent of the larger group.,Fact,Big picture,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,People experiencing “chronic homelessness” belong to another group that is often singled out for attention.,Fact,Big picture,Chronically homeless,Chronically homeless,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,<chronic homelessness> have disabilities and have also: 1) been continuously homeless for at least a year; or 2) experienced homelessness at least four times in the last three years for a combined length of time of at least a year.,Description,Chronically homeless,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Chronically homeless individuals are currently 19 percent of the homeless population.,Fact,Chronically homeless,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Due to their service to our country, veterans are often analyzed separately from the larger group",Fact,Data,Veterams,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Veterans represent only six percent of people experiencing homelessness.,Fact,Veterans,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"<Homelessness> risk is significantly tied to gender, race, and ethnicity.",Fact,Big picture,Groups,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Males are far more likely to experience homelessness than their female counterparts,Fact,Males,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Out of every 10,000 males, 22 are homeless.",Fact,Males,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Out of every 10,000 women and girls 13 are homeless.",Fact,Females,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,When the focus is solely on Individuals (the most significant subgroup within homelessness). The overwhelming majority (70 percent) are men.,Fact,Data,Statistics,Males,Individuals,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Historically marginalized groups are more likely to be disadvantaged within housing and homelessness spheres,Problem,Groups,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Higher unemployment rates, lower incomes, less access to healthcare, and higher incarceration rates are some of the factors likely contributing to higher rates of homelessness among people of color.",Problem,Groups,Cause,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"The reasons for the disparities <in homelessness>  are many and varied but tend to fall under the umbrellas of racism and caste. Throughout American history, private actors have contributed to the status quo, but so has government via actions and inactions resulting in limited housing opportunities, suppressed wages, and other unhelpful outcomes.",Problem,Groups,Cause,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Native Hawaiians and other Pacific Islanders have the highest rate of homelessness (109 out of every 10,000 people)",Fact,Groups,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Groups such as Native Americans (45 out of every 10,000 <are homeless>)",Fact,Groups,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Black or African Americans (52 out of every 10,00 <are homeless>)",Fact,Groups,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,," <USA> overall rate of homelessness is 18 out of every 10,000.",Fact,Big picture,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"The nation has a system of temporary shelters that reaches 354,000 people on a given night.",Fact,Support,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"some <homeless people> sleep in locations not ordinarily designated for that purpose (for example, sidewalks, subway trains, vehicles, or parks).",Problem,Big picture,Shelters,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Unsheltered people are considered particularly vulnerable due to their exposure to the elements and lack of safety, among other things.",Problem,Big picture,Shelters,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Homeless programs and systems provide shelter for most people experiencing homelessness (61 percent in 2020 ).,Fact,Support,Shelters,Statistics,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Children are often a priority for homeless services systems. As a result, families with children are least likely to be unsheltered (only ten percent of unsheltered people were living in families with children).",Fact,Policy,Shelters,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"However, young people not living with their families do not enjoy the same access to services—50 percent of unaccompanied homeless youth in 2020 were unsheltered.",Fact,Big picture,Shelters,Statistics,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Individuals experiencing homelessness on their own are particularly at risk of being unsheltered.,Problem,Individuals,Shelters,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"In 2020, for the first time since data collection began, the majority of those who were homeless as Individuals (51 percent) were unsheltered.",Fact,Big picture,Statistics,Individuals,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Chronically homeless (66 percent living without any shelter at all),Problem,Chronically homeless,Statistics,Shelters,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"The most recently available nation-wide unsheltered data are from the 2020 Point-in-Time Count. Pandemic-related health concerns disrupted counts of unsheltered people in 2021. While some CoCs made such data available for that year, the nationwide count will not be fully updated until late 2022 or early 2023, leaving a significant hole in available knowledge on homelessness.",Problem,Data,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Between 2019 and 2020, homelessness nationwide increased by two percent. This change marked the fourth straight year of incremental population growth.",Problem,Big picture,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Previously, homelessness had primarily been on the decline, decreasing in eight of the nine years before <2019> the current trend began ",Fact,Big picture,Positive ,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Long-term progress <on homelessness> has been modest. In 2020, the number of unhoused people was only 10 percent lower than in 2007 (the first year of nationwide data collection).",Problem,Big picture,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"While overall progress on ending homelessness has been modest, there is significant variation among subgroups. Some have experienced striking reductions in their counts.",Fact,Groups,Positive ,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Currently, 83 communities and 3 states have announced that they ended veteran homelessness (meaning that systems can ensure that homelessness is rare, brief, and one-time).",Fact,Big picture,Positive,Veterans,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Nationally, veteran homelessness decreased 47 percent since the point at which it peaked in 2009.",Fact,Veterans,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Homeless families with children are another group that decreased in size — 27 percent between 2007 and 2020.,Fact,,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Before homelessness began increasing again in 2016, chronic individual homelessness dropped by 35 percent since 2007.",Fact,,Statistics,Chronic individual,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Some subpopulations <which experienced more progress on homelessness> have benefitted from greater attention and/or resources after being prioritized by national-, state-, and local-level stakeholders. However, factors external to homeless services systems also contribute to outcomes. Regardless, these subgroups provide proof that significant reductions in homelessness are possible and have occurred.",Fact,Positive,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"The number of individuals experiencing homelessness has remained static over time, decreasing by a mere 1 percent between 2007 and 2020.",Problem,Individuals,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Although most veterans and chronically homeless people fall under the umbrella category of “individuals,” the majority of individuals do not belong to one of these subgroups. As a result, individual homeless adults who are not veterans or chronically homeless have typically not been the focus of special attention or resources.",Problem,Individuals,Cause,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"The size of this group < individuals experiencing chronically homelessness> had decreased significantly in the period before 2016. However, between 2016 and 2020, their numbers have surged by 43 percent.",Fact,Individuals,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Since data on homelessness has been collected, unsheltered homelessness has largely trended downward. By 2015, it had dropped by nearly a third.",Fact,Big picture,Statistics,Positive,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Between 2015 and 2020, there was a reversal of that <positive> trend. The unsheltered population surged by 30 percent , almost wiping out nearly a decade of reductions. The number of people currently living unsheltered was virtually as high as it was in 2007.",Problem,Big picture,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"The rising trend of unsheltered homelessness impacts nearly every major subgroup—including people of every race, ethnicity, gender, and most age groups.",Fact,Big picture,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Only children (people under 18) have realized an overall decrease in unsheltered homelessness during the surge that was evident at least through 2020.,Fact,,Statistics,Children,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"While unsheltered homelessness was on the rise during the period leading up to the pandemic, fewer and fewer people were staying in shelters. The downward trend in shelter usage continued into 2021.",Problem,Big picture,Shelters,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"An easy assumption would be that systems are failing—that they’re providing fewer people with shelter, leaving more and more people to sleep outside. However, the reality is much more complicated.",,,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Overall, homeless services systems have actually increased their capacity to serve people. systems have been steadily growing their available bed numbers.",Fact,,Shelters,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"<homeless services systems> have been increasingly focusing their resources on permanent housing rather than temporary shelter. Thus, more and more people may be benefitting from housing and services, but an increasing share is living in permanent housing as opposed to languishing in temporary shelters",Fact,,Housing,Shelters,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Growth in overall bed numbers is likely failing to keep pace with the number of new people entering homelessness, and specifically unsheltered homelessness.",Problem,Shelters,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"HUD’s AHAR Part 1: Point-in-Time Estimates of the Sheltered Homelessness (February 2022) highlights some COVID-19-related factors that likely contributed to decreases the size of the sheltered population between 2020 and 2021. These include:

reduced shelter capacity due to social distancing requirements, and
reduced inflow into shelters tied to eviction moratoria and stepped-up investments in homelessness prevention and diversion.
",Fact,,Selters,Covid-19,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Locating the areas experiencing the most significant <homelesness> challenges and directing additional attention – including new resources – towards them could result in meaningful reductions in homelessness.,Solution,Big picture,Data,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Fifty-seven percent of people experiencing homelessness in 2020 were in five states (California, New York, Florida, Texas, and Washington ).",Fact,Big picture,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Significant share of this national challenge <homelessness> is in a small number of places with large homeless counts. Meanwhile, most communities have relatively small homeless populations to serve. This should impact how the problem is addressed.",Solution,Big picture,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Many of the states and CoCs with the highest rates of homelessness have the highest housing costs.,Fact,Big picture,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"San Francisco <.> has the nation’s highest housing wage (i.e., the hourly wage a full-time worker must earn to afford a modest home at HUD’s fair market rent ).",Fact,,San Francisco,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"CoCs like Humboldt and Imperial City in California are listed above among the ten CoCs with the highest rates of homelessness in the country. They also have high poverty rates, exceeding 20 percent of their overall populations. Such jurisdictions have relatively low housing costs but have many people experiencing economic hardships, some resulting in homelessness.",Fact,Big picture,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,The nation’s homeless services systems do not have enough resources to fully meet the needs of everyone experiencing homelessness. ,Problem,Big picture,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Following two years of decreases, there was an uptick of nearly 7,000 temporary shelter beds between 2019 and 2021 . Currently, the overall number of temporary beds is 8 percent lower than the all-time high count which occurred in 2011.",Fact,,Shelters,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"In examining national-level bed and population counts for 2020, systems only had enough year-round beds for 50 percent of individuals on the night of the PiT Count.",Problem,Shelters,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"During the winter months, some communities temporarily supplement these year-round beds with seasonal ones.",Solution,Shelters,Cold weather,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"CoCs have had recent years in which temporary housing offerings were on the decline while investments in permanent housing beds (Permanent Supportive Housing, Rapid Re-Housing, and Other) have been consistently increasing.",Fact,,Shelters,Housing,Permanent housing,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"The current era reflects a renewed emphasis on Housing First, or connecting people with permanent housing as quickly as possible.",Fact,,Housing First,Permanent housing,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Currently, 59 percent of all homeless system beds are designated for permanent housing.",Fact,,Permanent housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Nationally, the most common forms of homeless assistance are Permanent Supportive Housing (39 percent of system beds) and emergency shelter (32 percent of system beds).",Fact,Cause,Permanent housing,Shelters,Statistics ,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Only one type of intervention has been on the decline—transitional housing. There are 59 percent fewer beds in this category than there were in 2007.,Fact,,Statistics,Transitional housing,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,<Decline in transitional housing beds> is responsible for decreases in the overall availability of temporary housing in recent years.,Fact,Shelters,Transitional housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"In the lead up to the pandemic, the nationwide poverty rate had decreased for five consecutive years.",Fact,Big picture,Positive,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"In 2020, that streak <of nationwide poverty rate drop> ended and the number of people living in poverty spiked by approximately 3.3 million people.",Fact,Big picture,Covid-19,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Some doubled-up individuals and families have fragile relationships with their hosts or face other challenges in the home, putting them at risk of homelessness.",Problem,Double up,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"In 2020, the size of this group <doubled-up individuals> experienced an uptick after six years of decline. Currently, the doubled-up population size is 5 percent larger than it was in 2007.",Problem,Double up,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Over a period lasting more than a decade, the nation has not made any real progress in reducing the number of Americans at risk of homelessness.",Problem,Big picture,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,The trend lines in the above chart point to severe house cost and doubled-up numbers that are higher in 2020 than they were in 2007.,Problem,Big picture,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"since 2007, severe-housing-cost burdened households grew by 45 percent in Wyoming and 34 percent in Connecticut (numbers that are even higher than national-level population growth)",Problem,Big picture,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Similarly, over that same time period <since 2007>, the number of people doubled up expanded by 136 percent in Nevada and 98 percent in Hawaii.

",Problem,Big picture,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Data on homelessness are based on annual point-in-time (PIT) counts conducted by Continuums of Care (CoCs) to estimate the number of people experiencing homelessness on a given night.,Fact,,Statistics,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"To end homelessness, a community-wide coordinated approach to delivering services, housing, and programs is needed.",Solution,Big picture,Coordination,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"To address homelessness, communities should take a coordinated approach, moving from a collection of individual programs to a community-wide response that is strategic and data driven. Communities that have adopted this approach use data about the needs of those experiencing homelessness to inform how they allocate resources, services, and programs.",Solution,Big picture,Coordination,Data,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Coordinated entry, also known as coordinated assessment or coordinated intake, is a process designed to quickly identify, assess, refer and connect people in crisis to housing and assistance, no matter where they show up to ask for help. It can pave the way for more efficient homeless assistance systems by:",Description,Coordinated entry,Coordination,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Establishing a plan helps communities set goals and conceptualize what they should prioritize. A plan can include goals, a process and timeline for meeting those goals, and mechanisms for evaluating progress.  Planning also brings providers, government officials, Continuum of Care leads and funders together to address topics such as how to identify needs of the population, decide on the structure of coordinated assessment, integrate prevention and shelter diversion resources, map out existing assessment and intake processes and sketch out preliminary needs assessment and screening tools.",Solution,Big picture,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Data collection efforts have advanced considerably in the past few decades and have opened up new opportunities and insight into homelessness in America. Collecting data and using it to inform decisions, locally and nationally, is critical to addressing homelessness",Solution,Big picture,Data,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"A Homeless Management Information System (HMIS) is a local information technology system used to collect client, program, and system-level data on the provision of housing and services to homeless individuals and families and persons at risk of homelessness. Each Continuum of Care is responsible for operating an HMIS system according to the U.S. Department of Housing and Urban Development’s (HUD) Data Standards.",Description,Homeless Management Information System (HMIS),Data,Information resource,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"(Homeless Management Information System) There are many benefits to a common and shared data system. From a client-level perspective, it contributes to a more seamless process of matching individuals, youth and families with the right resources. It can also make the comprehensive analysis of a community’s homeless system possible, which is critical to assessing incomes and ultimately improving practice and performance.",Solution,Big picture,Data,Homeless Management Information System,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Performance measures can be used by communities to examine progress and to assess what steps they should be taking to further reduce homelessness. HUD has developed system-level performance measures to help communities gauge their progress in preventing and ending homelessness.,Solution,Big picture,Data,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"To end homelessness, a coordinated systems approach is needed. This approach requires using local data to inform decisions about how to most effectively allocate resources, services, and programs to best address the needs of those experiencing homelessness in the community.",Solution,Coordination,Data,Pro,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Rapid re-housing can end homelessness by quickly connecting people to a home and services,Solution,Big picture,Housing,Rapid re-housing,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Rapid re-housing provides short-term rental assistance and services. The goals are to help people obtain housing quickly, increase self- sufficiency, and stay housed. It is offered without preconditions (such as employment, income, absence of criminal record, or sobriety) and the resources and services provided are typically tailored to the needs of the person.",Description,Rapid re-housing,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Rapid re-housing is a primary solution for ending homelessness. It has been demonstrated to be effective in getting people experiencing homelessness into permanent housing and keeping them there,Solution,Big picture,Housing,Rapid re-housing,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"<Rapid re-housing> By connecting people with a home, they are in a better position to address other challenges that may have led to their homelessness, such as obtaining employment or addressing substance abuse issues. The intervention has also been effective for people traditionally perceived to be more difficult to serve, including people with limited or no income and survivors of domestic violence.",Solution,Big picture,Housing,Rapid re-housing,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Research demonstrates that those who receive rapid re-housing assistance are homeless for shorter periods of time than those assisted with shelter or transitional housing. Rapid re-housing is also less expensive than other homeless interventions, such as shelter or transitional housing.",Solution,Big picture,Housing,Rapid re-housing,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
